id,county,state,male_under_5_years,male_5_to_9_years,male_10_to_14_years,male_15_to_19_years,male_20_to_24_years,male_25_to_29_years,male_30_to_34_years,male_35_to_39_years,male_40_to_44_years,male_45_to_49_years,male_50_to_54_years,male_55_to_59_years,male_60_to_64_years,male_65_to_69_years,male_70_to_74_years,male_75_to_79_years,male_80_to_84_years,male_85_years_and_over,male_percent_under_5_years,male_percent_5_to_9_years,male_percent_10_to_14_years,male_percent_15_to_19_years,male_percent_20_to_24_years,male_percent_25_to_29_years,male_percent_30_to_34_years,male_percent_35_to_39_years,male_percent_40_to_44_years,male_percent_45_to_49_years,male_percent_50_to_54_years,male_percent_55_to_59_years,male_percent_60_to_64_years,male_percent_65_to_69_years,male_percent_70_to_74_years,male_percent_75_to_79_years,male_percent_80_to_84_years,male_percent_85_years_and_over,female_under_5_years,female_5_to_9_years,female_10_to_14_years,female_15_to_19_years,female_20_to_24_years,female_25_to_29_years,female_30_to_34_years,female_35_to_39_years,female_40_to_44_years,female_45_to_49_years,female_50_to_54_years,female_55_to_59_years,female_60_to_64_years,female_65_to_69_years,female_70_to_74_years,female_75_to_79_years,female_80_to_84_years,female_85_years_and_over,female_percent_under_5_years,female_percent_5_to_9_years,female_percent_10_to_14_years,female_percent_15_to_19_years,female_percent_20_to_24_years,female_percent_25_to_29_years,female_percent_30_to_34_years,female_percent_35_to_39_years,female_percent_40_to_44_years,female_percent_45_to_49_years,female_percent_50_to_54_years,female_percent_55_to_59_years,female_percent_60_to_64_years,female_percent_65_to_69_years,female_percent_70_to_74_years,female_percent_75_to_79_years,female_percent_80_to_84_years,female_percent_85_years_and_over
0500000US12061,Indian River,Florida,3083,4059,4072,4400,2997,2930,5834,4800,2657,3560,3689,5040,6007,6878,6801,4134,3909,3182,4,5.2,5.2,5.6,3.8,3.8,7.5,6.2,3.4,4.6,4.7,6.5,7.7,8.8,8.7,5.3,5,4.1,2872,3407,2612,3810,4163,3675,2821,4621,2787,3227,4721,6842,6510,8384,6978,6189,4447,3825,3.5,4.2,3.2,4.7,5.1,4.5,3.4,5.6,3.4,3.9,5.8,8.4,7.9,10.2,8.5,7.6,5.4,4.7
0500000US12069,Lake,Florida,8911,9614,11924,9340,8887,10127,9972,9617,9971,9488,11526,11137,13042,12993,11511,10156,5254,5460,5,5.4,6.7,5.2,5,5.7,5.6,5.4,5.6,5.3,6.4,6.2,7.3,7.3,6.4,5.7,2.9,3.1,7941,9970,8624,10404,8296,9510,9478,11896,9480,11436,10964,11049,15610,14892,12683,11998,7453,6504,4.2,5.3,4.6,5.5,4.4,5.1,5,6.3,5,6.1,5.8,5.9,8.3,7.9,6.7,6.4,4,3.5
0500000US12071,Lee,Florida,17779,18497,20941,20289,18357,21747,19604,23967,16960,21002,21412,22680,28181,29801,26622,25578,13962,11225,4.7,4.9,5.5,5.4,4.8,5.7,5.2,6.3,4.5,5.5,5.7,6,7.4,7.9,7,6.8,3.7,3,16916,18219,18252,18647,18354,20894,20607,19792,19853,21460,23314,27499,30691,31217,32253,22377,18156,13472,4.3,4.6,4.7,4.8,4.7,5.3,5.3,5,5.1,5.5,5.9,7,7.8,8,8.2,5.7,4.6,3.4
0500000US12073,Leon,Florida,7581,7684,7657,12421,21249,11552,8824,8376,6577,6995,7703,7508,6954,6388,5108,2602,1915,1478,5.5,5.5,5.5,9,15.3,8.3,6.4,6,4.7,5,5.6,5.4,5,4.6,3.7,1.9,1.4,1.1,7755,7837,7267,14378,23839,11836,9440,7867,8952,7709,8109,9082,7761,7962,5793,4463,2447,2513,5,5.1,4.7,9.3,15.4,7.6,6.1,5.1,5.8,5,5.2,5.9,5,5.1,3.7,2.9,1.6,1.6
0500000US12081,Manatee,Florida,10321,9471,11260,12682,9497,9978,10903,10174,9800,10694,11982,13817,13564,13141,15467,12178,6659,5354,5.2,4.8,5.7,6.4,4.8,5.1,5.5,5.2,5,5.4,6.1,7,6.9,6.7,7.9,6.2,3.4,2.7,8000,8189,12030,8675,10235,9763,10438,10740,10447,11745,13102,16237,15539,17941,15442,12178,8095,7515,3.9,4,5.8,4.2,5,4.7,5.1,5.2,5.1,5.7,6.4,7.9,7.5,8.7,7.5,5.9,3.9,3.6
0500000US12083,Marion,Florida,9396,9157,10266,9330,8733,10922,9065,9273,8194,9337,10014,10851,11673,13296,12681,11592,6739,4588,5.4,5.2,5.9,5.3,5,6.2,5.2,5.3,4.7,5.3,5.7,6.2,6.7,7.6,7.2,6.6,3.8,2.6,8475,7914,10414,9849,8190,10147,9479,11572,7576,10200,11164,15316,12122,16772,14761,12340,7013,7168,4.4,4.2,5.5,5.2,4.3,5.3,5,6.1,4,5.4,5.9,8,6.4,8.8,7.7,6.5,3.7,3.8
0500000US12085,Martin,Florida,3283,3659,3963,4455,3500,4071,4655,3326,3508,5009,4100,5821,7335,7050,5358,5944,2359,3630,4.1,4.5,4.9,5.5,4.3,5,5.7,4.1,4.3,6.2,5.1,7.2,9.1,8.7,6.6,7.3,2.9,4.5,3060,2835,4456,3597,3182,2651,4273,2967,3683,4664,4629,5325,7558,7066,5546,6265,3871,4346,3.8,3.5,5.6,4.5,4,3.3,5.3,3.7,4.6,5.8,5.8,6.7,9.5,8.8,6.9,7.8,4.8,5.4
0500000US12086,Miami-Dade,Florida,80438,71735,81401,78151,82468,96155,99415,93232,91228,98219,96263,89336,73152,55543,50448,38273,21438,22292,6.1,5.4,6.2,5.9,6.3,7.3,7.5,7.1,6.9,7.4,7.3,6.8,5.5,4.2,3.8,2.9,1.6,1.7,76759,67670,80446,75671,80275,93321,94318,85917,98749,99455,98637,103137,79345,73291,61861,48294,36797,43810,5.5,4.8,5.8,5.4,5.7,6.7,6.7,6.1,7.1,7.1,7.1,7.4,5.7,5.2,4.4,3.5,2.6,3.1
0500000US12087,Monroe,Florida,1526,1988,1808,1660,2236,2582,2190,2489,2074,2462,2917,2912,3295,2724,2887,1773,686,925,3.9,5.1,4.6,4.2,5.7,6.6,5.6,6.4,5.3,6.3,7.5,7.4,8.4,7,7.4,4.5,1.8,2.4,1378,801,1654,898,1901,2081,2250,1829,2268,2451,2922,2846,3186,3074,2660,1077,635,1183,3.9,2.3,4.7,2.6,5.4,5.9,6.4,5.2,6.5,7,8.3,8.1,9.1,8.8,7.6,3.1,1.8,3.4
0500000US12089,Nassau,Florida,2752,2857,1800,2416,2090,2458,2248,2094,2677,2912,3074,3462,3045,2583,3249,2173,1055,753,6.3,6.5,4.1,5.5,4.8,5.6,5.1,4.8,6.1,6.7,7,7.9,7,5.9,7.4,5,2.4,1.7,1984,2459,2820,1713,1028,3812,2470,2364,2001,2684,3654,3437,3617,2698,3500,2267,1754,665,4.4,5.5,6.3,3.8,2.3,8.5,5.5,5.3,4.5,6,8.1,7.7,8.1,6,7.8,5,3.9,1.5
0500000US12091,Okaloosa,Florida,6606,6301,7282,6751,8223,9003,9230,7336,6035,5586,4969,7086,7100,5980,3724,2307,2378,1274,6.2,5.9,6.8,6.3,7.7,8.4,8.6,6.8,5.6,5.2,4.6,6.6,6.6,5.6,3.5,2.2,2.2,1.2,6728,6355,6404,5210,6240,8177,6737,6011,6583,5825,6289,6921,7340,5491,4911,3446,2475,2424,6.5,6.1,6.2,5,6,7.9,6.5,5.8,6.4,5.6,6.1,6.7,7.1,5.3,4.7,3.3,2.4,2.3
0500000US12095,Orange,Florida,42991,42805,44654,45783,49909,61276,57351,50879,48105,45450,43105,39448,36629,28763,18251,12725,9270,5772,6.3,6.3,6.5,6.7,7.3,9,8.4,7.4,7,6.7,6.3,5.8,5.4,4.2,2.7,1.9,1.4,0.8,40703,43481,40034,45711,53181,60155,55517,51787,49438,47248,44356,43130,39329,31690,24832,15411,13267,11016,5.7,6.1,5.6,6.4,7.5,8.5,7.8,7.3,7,6.7,6.2,6.1,5.5,4.5,3.5,2.2,1.9,1.6
0500000US12097,Osceola,Florida,12209,10576,16740,12368,14198,13203,13814,16300,12430,11224,11122,8776,11030,6294,7247,5411,2425,1289,6.5,5.7,9,6.6,7.6,7.1,7.4,8.7,6.7,6,6,4.7,5.9,3.4,3.9,2.9,1.3,0.7,10360,10932,13520,12713,13528,12543,13184,14447,14771,12114,11621,10314,10933,9839,6217,4215,3244,4600,5.5,5.8,7.1,6.7,7.2,6.6,7,7.6,7.8,6.4,6.1,5.5,5.8,5.2,3.3,2.2,1.7,2.4
0500000US12099,Palm Beach,Florida,38965,39751,40936,42012,40294,45358,45225,43485,41684,45151,45866,49663,45417,41513,38018,35326,22937,23914,5.4,5.5,5.6,5.8,5.6,6.3,6.2,6,5.7,6.2,6.3,6.8,6.3,5.7,5.2,4.9,3.2,3.3,37323,36250,41406,39536,39229,43833,43327,42788,43915,46907,49060,49423,55407,51576,45751,40618,28546,36360,4.8,4.7,5.4,5.1,5.1,5.7,5.6,5.5,5.7,6.1,6.4,6.4,7.2,6.7,5.9,5.3,3.7,4.7
0500000US12101,Pasco,Florida,14853,17316,15655,16222,14193,14574,15419,19197,14384,17591,17296,18926,16932,17019,14665,13855,7225,4745,5.5,6.4,5.8,6,5.3,5.4,5.7,7.1,5.3,6.5,6.4,7,6.3,6.3,5.4,5.1,2.7,1.8,13511,13982,16981,15927,13108,14833,15965,18673,17656,17831,18282,19043,20191,19013,17505,15845,8860,6674,4.8,4.9,6,5.6,4.6,5.2,5.6,6.6,6.2,6.3,6.4,6.7,7.1,6.7,6.2,5.6,3.1,2.4
0500000US12103,Pinellas,Florida,21398,21214,22880,22154,25057,28576,28719,27348,25259,28613,31988,37058,37227,32934,28300,21018,14824,13280,4.6,4.5,4.9,4.7,5.4,6.1,6.1,5.8,5.4,6.1,6.8,7.9,8,7,6,4.5,3.2,2.8,20232,19193,23503,20836,23824,30382,29322,30852,23712,30533,33946,39659,43875,39399,31889,24590,18513,22889,4,3.8,4.6,4.1,4.7,6,5.8,6.1,4.7,6,6.7,7.8,8.7,7.8,6.3,4.8,3.7,4.5
0500000US12105,Polk,Florida,21360,19596,26675,23000,21869,24757,23129,21222,21478,21326,20847,21469,19889,20496,18083,14335,8043,7966,6,5.5,7.5,6.5,6.2,7,6.5,6,6,6,5.9,6,5.6,5.8,5.1,4,2.3,2.2,20266,20567,23307,22268,21586,24361,23223,22424,21445,22191,21229,23564,22704,22146,22352,15115,11932,8557,5.5,5.6,6.3,6,5.8,6.6,6.3,6.1,5.8,6,5.7,6.4,6.1,6,6.1,4.1,3.2,2.3
0500000US12107,Putnam,Florida,2172,2742,2440,1359,1768,2336,1730,2453,1635,2174,2409,2896,2579,3010,1953,1918,1318,282,5.8,7.4,6.6,3.7,4.8,6.3,4.7,6.6,4.4,5.8,6.5,7.8,6.9,8.1,5.3,5.2,3.5,0.8,1658,1710,2507,2241,2340,1231,1841,2352,1657,2673,2094,3027,3002,2986,2017,1619,1322,1070,4.4,4.6,6.7,6,6.3,3.3,4.9,6.3,4.4,7.2,5.6,8.1,8,8,5.4,4.3,3.5,2.9
0500000US12109,St. Johns,Florida,5856,7990,9532,7866,7475,5532,5806,9523,7251,9369,8574,9510,7892,7706,7645,4830,2106,3450,4.6,6.2,7.5,6.1,5.8,4.3,4.5,7.4,5.7,7.3,6.7,7.4,6.2,6,6,3.8,1.6,2.7,6330,8261,8828,8566,6614,5767,6225,8602,9517,9955,8996,9466,10127,9013,8104,5624,3242,3522,4.6,6,6.5,6.3,4.8,4.2,4.6,6.3,7,7.3,6.6,6.9,7.4,6.6,5.9,4.1,2.4,2.6
0500000US12111,St. Lucie,Florida,6786,8735,9796,9674,7385,10175,9020,7769,9629,9889,9661,11438,10294,9394,11087,8578,6349,2323,4.3,5.5,6.2,6.1,4.7,6.4,5.7,4.9,6.1,6.3,6.1,7.2,6.5,5.9,7,5.4,4,1.5,9566,7085,11253,8414,9300,8509,8940,11291,10146,7473,10523,12246,12167,8588,14739,10250,5124,4701,5.6,4.2,6.6,4.9,5.5,5,5.2,6.6,6,4.4,6.2,7.2,7.1,5,8.7,6,3,2.8
0500000US12113,Santa Rosa,Florida,5412,4894,7688,5154,6156,6797,6277,6188,6228,6405,6494,7892,5268,4793,3918,2347,1674,970,5.7,5.2,8.1,5.5,6.5,7.2,6.6,6.5,6.6,6.8,6.9,8.3,5.6,5.1,4.1,2.5,1.8,1,5113,4669,6174,4582,5344,5600,6121,4974,5692,6430,5595,5488,6430,5095,5356,3413,1468,2214,5.7,5.2,6.9,5.1,6,6.2,6.8,5.5,6.3,7.2,6.2,6.1,7.2,5.7,6,3.8,1.6,2.5
0500000US12115,Sarasota,Florida,7474,6271,11494,9905,9879,8498,8847,9328,8358,9993,11378,14476,16591,18824,18329,16494,11064,8943,3.6,3,5.6,4.8,4.8,4.1,4.3,4.5,4.1,4.8,5.5,7,8,9.1,8.9,8,5.4,4.3,7138,7268,9708,8359,9508,9208,8682,8947,9167,11195,13941,16308,20227,23501,21200,17284,12770,13185,3.1,3.2,4.3,3.7,4.2,4,3.8,3.9,4,4.9,6.1,7.2,8.9,10.3,9.3,7.6,5.6,5.8
0500000US12117,Seminole,Florida,12726,15021,13472,13387,14812,17252,17016,15146,17145,15930,14298,16408,12544,10977,9124,6458,3038,2709,5.6,6.6,5.9,5.9,6.5,7.6,7.5,6.7,7.5,7,6.3,7.2,5.5,4.8,4,2.8,1.3,1.2,12316,15949,12007,14676,13174,17218,16828,18275,15402,16746,16381,18449,14133,13621,11011,7071,4400,6706,5,6.5,4.9,6,5.4,7,6.9,7.5,6.3,6.9,6.7,7.5,5.8,5.6,4.5,2.9,1.8,2.7
0500000US12119,Sumter,Florida,1661,729,1398,1600,2143,1709,2257,3398,2123,2142,2358,2926,4096,8200,11067,8718,6891,1932,2.5,1.1,2.1,2.4,3.3,2.6,3.5,5.2,3.2,3.3,3.6,4.5,6.3,12.5,16.9,13.3,10.5,3,780,1689,889,2189,956,881,1166,2242,951,1027,2246,3959,6121,9748,14994,9671,4780,2783,1.2,2.5,1.3,3.3,1.4,1.3,1.7,3.3,1.4,1.5,3.3,5.9,9.1,14.5,22.4,14.4,7.1,4.1
0500000US12127,Volusia,Florida,12862,12662,14615,14996,16128,17068,16254,14560,14297,15929,17270,19790,20563,18494,17496,11602,7487,7398,4.8,4.7,5.4,5.6,6,6.3,6,5.4,5.3,5.9,6.4,7.3,7.6,6.9,6.5,4.3,2.8,2.7,13240,15574,11354,14083,14899,16068,15668,15180,14513,15888,17562,21038,24027,22089,18583,13972,9787,10288,4.7,5.5,4,5,5.2,5.7,5.5,5.3,5.1,5.6,6.2,7.4,8.5,7.8,6.5,4.9,3.4,3.6
0500000US12131,Walton,Florida,2275,2445,2009,1990,1538,2215,2103,3939,2107,2044,2496,2946,2500,2517,1867,991,516,1184,6,6.5,5.3,5.3,4.1,5.9,5.6,10.5,5.6,5.4,6.6,7.8,6.6,6.7,5,2.6,1.4,3.1,1826,2467,1961,1699,1234,1781,2718,2077,1913,1908,2348,3458,3145,2735,2047,815,797,1460,5,6.8,5.4,4.7,3.4,4.9,7.5,5.7,5.3,5.2,6.5,9.5,8.6,7.5,5.6,2.2,2.2,4
0500000US13013,Barrow,Georgia,2624,2678,3480,4072,2517,2925,2335,2783,3480,2767,2666,2460,2181,1811,1044,817,250,446,6.3,6.5,8.4,9.9,6.1,7.1,5.6,6.7,8.4,6.7,6.4,6,5.3,4.4,2.5,2,0.6,1.1,2716,3047,3387,1465,1968,3628,3223,2405,3757,3270,2287,2934,1807,1967,1923,937,818,365,6.5,7.3,8.1,3.5,4.7,8.7,7.7,5.7,9,7.8,5.5,7,4.3,4.7,4.6,2.2,2,0.9
0500000US13015,Bartow,Georgia,3497,3933,2924,3189,3651,3120,3612,3079,3964,3172,4196,3373,3220,2931,1592,1214,803,496,6.7,7.6,5.6,6.1,7,6,7,5.9,7.6,6.1,8.1,6.5,6.2,5.6,3.1,2.3,1.5,1,3345,3948,4001,3535,3639,3572,3686,4281,2213,4042,3295,3652,3388,3306,1962,2324,1248,335,6,7.1,7.2,6.3,6.5,6.4,6.6,7.7,4,7.2,5.9,6.5,6.1,5.9,3.5,4.2,2.2,0.6
0500000US13021,Bibb,Georgia,5221,5580,5403,6597,3760,5414,4353,3842,4410,4326,4201,5308,3569,3467,2785,1242,1161,1249,7.3,7.8,7.5,9.2,5.2,7.5,6.1,5.3,6.1,6,5.8,7.4,5,4.8,3.9,1.7,1.6,1.7,4873,4360,5891,6167,4890,5921,5351,6100,3489,4844,4482,4551,5770,5233,2733,3034,1743,1839,6,5.4,7.2,7.6,6,7.3,6.6,7.5,4.3,6,5.5,5.6,7.1,6.4,3.4,3.7,2.1,2.3
0500000US13031,Bulloch,Georgia,1956,1767,2346,5051,7082,2546,2784,1809,1999,1852,1894,1805,1785,1618,1224,532,457,248,5,4.6,6.1,13,18.3,6.6,7.2,4.7,5.2,4.8,4.9,4.7,4.6,4.2,3.2,1.4,1.2,0.6,2432,2030,2476,4323,6075,3098,2951,1881,2249,2430,1648,2330,1954,1910,894,979,994,199,6,5,6.1,10.6,14.9,7.6,7.2,4.6,5.5,5.9,4,5.7,4.8,4.7,2.2,2.4,2.4,0.5
0500000US13045,Carroll,Georgia,4795,3298,4486,4099,5278,3842,3440,4304,4065,3441,3772,4220,2122,2623,1891,1384,981,513,8.2,5.6,7.7,7,9,6.6,5.9,7.4,6.9,5.9,6.4,7.2,3.6,4.5,3.2,2.4,1.7,0.9,3333,4137,3541,5215,4333,4874,4020,4642,4256,3450,3317,3953,3144,2687,2826,1181,1438,1091,5.4,6.7,5.8,8.5,7.1,7.9,6.5,7.6,6.9,5.6,5.4,6.4,5.1,4.4,4.6,1.9,2.3,1.8
0500000US13047,Catoosa,Georgia,2380,2573,1567,2339,1872,1803,1748,1442,2540,2567,2132,2343,1901,1633,1418,1199,759,127,7.4,8,4.8,7.2,5.8,5.6,5.4,4.5,7.9,7.9,6.6,7.2,5.9,5,4.4,3.7,2.3,0.4,1900,2693,1619,2062,1893,2776,2094,1474,2590,2260,2473,2224,2421,1692,2086,1586,280,1114,5.4,7.6,4.6,5.9,5.4,7.9,5.9,4.2,7.4,6.4,7,6.3,6.9,4.8,5.9,4.5,0.8,3.2
0500000US13051,Chatham,Georgia,8658,8732,9681,9207,11909,11792,10999,9755,7967,7533,8021,8309,7383,6187,6105,3673,2410,1526,6.2,6.2,6.9,6.6,8.5,8.4,7.9,7,5.7,5.4,5.7,5.9,5.3,4.4,4.4,2.6,1.7,1.1,7584,8005,7862,10199,10437,12796,11756,9908,8208,8374,8658,10553,8564,10178,5498,4696,2685,3622,5.1,5.4,5.3,6.8,7,8.6,7.9,6.6,5.5,5.6,5.8,7.1,5.7,6.8,3.7,3.1,1.8,2.4
0500000US13057,Cherokee,Georgia,7040,8847,9651,8514,7441,8067,8090,8398,8781,9568,9584,7647,7781,4878,5998,3728,1033,1081,5.6,7,7.7,6.8,5.9,6.4,6.4,6.7,7,7.6,7.6,6.1,6.2,3.9,4.8,3,0.8,0.9,7507,7916,10118,8575,6687,6824,9342,9320,9937,9462,8759,7418,9152,7271,6936,3854,2661,907,5.7,6,7.6,6.5,5,5.1,7,7,7.5,7.1,6.6,5.6,6.9,5.5,5.2,2.9,2,0.7
0500000US13059,Clarke,Georgia,3872,3515,3750,6694,10930,4581,5098,2241,3104,2821,3673,3161,1974,1316,2676,1252,477,134,6.3,5.7,6.1,10.9,17.8,7.5,8.3,3.7,5.1,4.6,6,5.2,3.2,2.1,4.4,2,0.8,0.2,3190,2492,3407,9075,9632,5949,4224,3508,3398,3457,3577,4316,2213,2704,2361,2016,1027,516,4.8,3.7,5.1,13.5,14.4,8.9,6.3,5.2,5.1,5.2,5.3,6.4,3.3,4,3.5,3,1.5,0.8
0500000US13063,Clayton,Georgia,10976,10997,12284,10175,10490,11145,9408,9440,8708,7365,8473,8343,6207,5143,3278,1592,1237,717,8.1,8.1,9,7.5,7.7,8.2,6.9,6.9,6.4,5.4,6.2,6.1,4.6,3.8,2.4,1.2,0.9,0.5,11244,8799,13544,11160,10899,12528,11647,10829,10866,10554,9776,9132,9208,5416,5361,2048,2254,1013,7.2,5.6,8.7,7.1,7,8,7.5,6.9,7,6.8,6.3,5.8,5.9,3.5,3.4,1.3,1.4,0.6
0500000US13067,Cobb,Georgia,23303,23769,26349,25966,24205,28560,27587,27510,23762,26162,24797,24340,20884,15053,11949,8072,2983,4093,6.3,6.4,7.1,7,6.6,7.7,7.5,7.4,6.4,7.1,6.7,6.6,5.7,4.1,3.2,2.2,0.8,1.1,22837,24981,23874,25303,23611,28493,27533,27099,28310,28619,26825,26902,22143,17234,15964,9780,7106,4183,5.8,6.4,6.1,6.5,6,7.3,7,6.9,7.2,7.3,6.9,6.9,5.7,4.4,4.1,2.5,1.8,1.1
0500000US13073,Columbia,Georgia,4094,5835,7333,7137,4166,6134,5122,4892,4958,4343,5214,4946,3929,4374,2217,2427,461,472,5.2,7.5,9.4,9.1,5.3,7.9,6.6,6.3,6.4,5.6,6.7,6.3,5,5.6,2.8,3.1,0.6,0.6,4292,5555,4392,5725,4564,4612,5068,5596,6637,5337,4734,4483,5546,4601,2537,2527,1140,1314,5.5,7.1,5.6,7.3,5.8,5.9,6.4,7.1,8.4,6.8,6,5.7,7.1,5.8,3.2,3.2,1.4,1.7
0500000US13077,Coweta,Georgia,4451,6318,4806,4985,4249,4634,4428,3549,5727,5609,5255,5235,4201,2902,2974,1985,1415,547,6.1,8.6,6.6,6.8,5.8,6.3,6,4.8,7.8,7.7,7.2,7.1,5.7,4,4.1,2.7,1.9,0.7,4023,4092,5898,4700,3828,5415,4770,3872,5902,5361,5492,5641,4502,3937,3629,1929,1403,845,5.3,5.4,7.8,6.2,5.1,7.2,6.3,5.1,7.8,7.1,7.3,7.5,6,5.2,4.8,2.6,1.9,1.1
0500000US13089,DeKalb,Georgia,26650,22712,25772,21933,21655,31052,30178,25375,26152,23919,22043,22929,17545,16163,9853,7354,2964,3688,7.4,6.3,7.2,6.1,6,8.7,8.4,7.1,7.3,6.7,6.2,6.4,4.9,4.5,2.8,2.1,0.8,1,25909,22122,24644,21521,24824,33844,32668,30383,26380,26505,25057,26313,23513,19300,15677,10999,5564,6137,6.5,5.5,6.1,5.4,6.2,8.4,8.1,7.6,6.6,6.6,6.2,6.6,5.9,4.8,3.9,2.7,1.4,1.5
0500000US13095,Dougherty,Georgia,3100,2529,3170,2983,4350,2016,2207,3919,1525,1659,2091,2661,2027,2356,1574,1022,751,351,7.7,6.3,7.9,7.4,10.8,5,5.5,9.7,3.8,4.1,5.2,6.6,5,5.8,3.9,2.5,1.9,0.9,2984,3144,2387,3741,3490,3522,2995,2423,2468,3105,2787,2414,3562,1910,2986,2230,538,979,6.3,6.6,5,7.8,7.3,7.4,6.3,5.1,5.2,6.5,5.8,5.1,7.5,4,6.3,4.7,1.1,2.1
0500000US13097,Douglas,Georgia,6049,3134,8127,5684,5020,3859,3945,5233,4020,4238,5200,2812,5467,3069,1825,1299,342,799,8.6,4.5,11.6,8.1,7.2,5.5,5.6,7.5,5.7,6,7.4,4,7.8,4.4,2.6,1.9,0.5,1.1,3071,3969,6053,7352,5488,3424,4558,5640,5595,5725,5643,5096,4382,3104,2739,2357,935,1090,4,5.2,7.9,9.6,7.2,4.5,6,7.4,7.3,7.5,7.4,6.7,5.7,4.1,3.6,3.1,1.2,1.4
0500000US13113,Fayette,Georgia,2560,3898,3801,4013,3104,2782,1995,3827,3373,3948,3746,5087,2940,2951,2833,1540,956,1307,4.7,7.1,7,7.3,5.7,5.1,3.6,7,6.2,7.2,6.9,9.3,5.4,5.4,5.2,2.8,1.7,2.4,2490,3690,4103,3414,3361,2826,2804,3962,3602,4441,4094,4383,4264,3854,3437,2294,1676,1065,4.2,6.2,6.9,5.7,5.6,4.7,4.7,6.6,6,7.4,6.9,7.3,7.1,6.4,5.8,3.8,2.8,1.8
0500000US13115,Floyd,Georgia,2632,3865,3643,3390,3370,3940,2460,2800,2094,3488,3484,2597,2461,2581,2339,1598,371,718,5.5,8.1,7.6,7.1,7,8.2,5.1,5.9,4.4,7.3,7.3,5.4,5.1,5.4,4.9,3.3,0.8,1.5,2584,3731,1986,4480,2775,3857,2413,3640,2067,4196,3433,3589,2510,2790,2402,1529,1358,1327,5.1,7.4,3.9,8.8,5.5,7.6,4.8,7.2,4.1,8.3,6.8,7.1,5,5.5,4.7,3,2.7,2.6
0500000US13117,Forsyth,Georgia,7105,9994,10265,9759,6079,5177,5983,10107,9130,11247,9253,8261,5621,5082,3310,2594,1870,400,5.9,8.2,8.5,8,5,4.3,4.9,8.3,7.5,9.3,7.6,6.8,4.6,4.2,2.7,2.1,1.5,0.3,6889,8353,10656,9181,5675,4782,6604,10277,10431,10460,9207,7107,6174,5626,4261,4013,1682,1637,5.6,6.8,8.7,7.5,4.6,3.9,5.4,8.4,8.5,8.5,7.5,5.8,5,4.6,3.5,3.3,1.4,1.3
0500000US13121,Fulton,Georgia,31029,29977,34704,35891,37936,47169,43101,36338,35776,36811,34609,32387,25418,18871,16080,9002,4123,5679,6,5.8,6.7,7,7.4,9.2,8.4,7.1,6.9,7.1,6.7,6.3,4.9,3.7,3.1,1.7,0.8,1.1,30055,30203,32574,36169,36358,49200,44301,43303,35197,39303,34882,34902,28588,27297,16616,11162,9037,9889,5.5,5.5,5.9,6.6,6.6,9,8.1,7.9,6.4,7.2,6.4,6.4,5.2,5,3,2,1.6,1.8
0500000US13127,Glynn,Georgia,2015,3712,2290,2429,2868,2542,2539,1879,2162,2455,2506,2587,2638,3154,1779,985,1310,577,5,9.2,5.7,6,7.1,6.3,6.3,4.6,5.3,6.1,6.2,6.4,6.5,7.8,4.4,2.4,3.2,1.4,1640,2485,3166,2330,2112,1947,3831,2437,3172,2526,2776,3192,3210,3265,2660,1190,1340,1586,3.7,5.5,7.1,5.2,4.7,4.3,8.5,5.4,7.1,5.6,6.2,7.1,7.2,7.3,5.9,2.7,3,3.5
0500000US13135,Gwinnett,Georgia,30822,33829,37998,36275,30578,31056,29856,33763,29901,33590,32181,32427,20860,17085,12303,6681,3265,4367,6.7,7.4,8.3,7.9,6.7,6.8,6.5,7.4,6.5,7.4,7,7.1,4.6,3.7,2.7,1.5,0.7,1,30062,34418,36119,34918,29946,31315,31352,35803,33710,36582,33447,34245,22753,19753,15007,8442,5940,5601,6.3,7.2,7.5,7.3,6.2,6.5,6.5,7.5,7,7.6,7,7.1,4.7,4.1,3.1,1.8,1.2,1.2
0500000US13139,Hall,Georgia,6556,6207,8535,7262,6559,6779,6301,6040,6444,7118,7279,6860,5564,4447,4286,2959,1439,786,6.5,6.1,8.4,7.2,6.5,6.7,6.2,6,6.4,7,7.2,6.8,5.5,4.4,4.2,2.9,1.4,0.8,6336,5936,7874,7337,6729,6748,5706,5023,7091,7528,6924,6280,6363,5493,4133,3789,1894,1836,6.2,5.8,7.6,7.1,6.5,6.6,5.5,4.9,6.9,7.3,6.7,6.1,6.2,5.3,4,3.7,1.8,1.8
0500000US13151,Henry,Georgia,6787,8887,8859,10565,7750,7372,5847,6042,7942,7848,8832,8336,5462,5000,3317,1777,886,1369,6,7.9,7.8,9.4,6.9,6.5,5.2,5.4,7,7,7.8,7.4,4.8,4.4,2.9,1.6,0.8,1.2,6361,8271,8863,7427,8214,7718,7447,7991,8841,9623,10006,7780,7480,5700,3896,2389,1877,1799,5.2,6.8,7.3,6.1,6.8,6.3,6.1,6.6,7.3,7.9,8.2,6.4,6.1,4.7,3.2,2,1.5,1.5
