id,county,state,male_under_5_years,male_5_to_9_years,male_10_to_14_years,male_15_to_19_years,male_20_to_24_years,male_25_to_29_years,male_30_to_34_years,male_35_to_39_years,male_40_to_44_years,male_45_to_49_years,male_50_to_54_years,male_55_to_59_years,male_60_to_64_years,male_65_to_69_years,male_70_to_74_years,male_75_to_79_years,male_80_to_84_years,male_85_years_and_over,male_percent_under_5_years,male_percent_5_to_9_years,male_percent_10_to_14_years,male_percent_15_to_19_years,male_percent_20_to_24_years,male_percent_25_to_29_years,male_percent_30_to_34_years,male_percent_35_to_39_years,male_percent_40_to_44_years,male_percent_45_to_49_years,male_percent_50_to_54_years,male_percent_55_to_59_years,male_percent_60_to_64_years,male_percent_65_to_69_years,male_percent_70_to_74_years,male_percent_75_to_79_years,male_percent_80_to_84_years,male_percent_85_years_and_over,female_under_5_years,female_5_to_9_years,female_10_to_14_years,female_15_to_19_years,female_20_to_24_years,female_25_to_29_years,female_30_to_34_years,female_35_to_39_years,female_40_to_44_years,female_45_to_49_years,female_50_to_54_years,female_55_to_59_years,female_60_to_64_years,female_65_to_69_years,female_70_to_74_years,female_75_to_79_years,female_80_to_84_years,female_85_years_and_over,female_percent_under_5_years,female_percent_5_to_9_years,female_percent_10_to_14_years,female_percent_15_to_19_years,female_percent_20_to_24_years,female_percent_25_to_29_years,female_percent_30_to_34_years,female_percent_35_to_39_years,female_percent_40_to_44_years,female_percent_45_to_49_years,female_percent_50_to_54_years,female_percent_55_to_59_years,female_percent_60_to_64_years,female_percent_65_to_69_years,female_percent_70_to_74_years,female_percent_75_to_79_years,female_percent_80_to_84_years,female_percent_85_years_and_over
0500000US13217,Newton,Georgia,3943,3244,4561,3067,3451,3752,3842,3008,3430,2762,3649,3678,2381,2443,1824,932,699,419,7.7,6.4,8.9,6,6.8,7.3,7.5,5.9,6.7,5.4,7.1,7.2,4.7,4.8,3.6,1.8,1.4,0.8,3467,6043,4814,3519,3409,3572,4050,3150,4250,4263,4578,3891,3263,2966,2367,1670,500,887,5.7,10,7.9,5.8,5.6,5.9,6.7,5.2,7,7,7.5,6.4,5.4,4.9,3.9,2.8,0.8,1.5
0500000US13223,Paulding,Georgia,5422,3960,8590,7370,5068,5055,4253,6181,6594,7559,5115,4748,4673,2890,2316,1517,558,186,6.6,4.8,10.5,9,6.2,6.2,5.2,7.5,8,9.2,6.2,5.8,5.7,3.5,2.8,1.8,0.7,0.2,5087,5613,6719,4572,5868,5300,5591,6329,6981,7390,6391,6215,4140,3859,2703,1209,1471,1174,5.9,6.5,7.8,5.3,6.8,6.1,6.5,7.3,8.1,8.5,7.4,7.2,4.8,4.5,3.1,1.4,1.7,1.4
0500000US13245,Richmond,Georgia,6871,8033,4624,7736,8513,9249,6878,5514,5673,5665,5200,4314,7317,3642,4197,2592,957,733,7,8.2,4.7,7.9,8.7,9.5,7,5.6,5.8,5.8,5.3,4.4,7.5,3.7,4.3,2.7,1,0.8,6495,4690,7513,7044,7311,8877,7965,6579,5508,5949,5935,6765,6598,5381,5183,2556,2206,2255,6.2,4.5,7.2,6.7,7,8.5,7.6,6.3,5.3,5.7,5.7,6.5,6.3,5.1,4.9,2.4,2.1,2.2
0500000US13247,Rockdale,Georgia,2427,3484,3569,3780,3409,2531,1585,2523,2290,3190,2642,2949,2933,2510,1469,1092,877,255,5.6,8,8.2,8.7,7.8,5.8,3.6,5.8,5.3,7.3,6.1,6.8,6.7,5.8,3.4,2.5,2,0.6,2146,1986,4276,3052,2543,3246,2650,3751,3184,3045,3302,3236,3366,2755,2060,834,852,1097,4.5,4.2,9,6.4,5.4,6.9,5.6,7.9,6.7,6.4,7,6.8,7.1,5.8,4.3,1.8,1.8,2.3
0500000US13255,Spalding,Georgia,2472,4358,995,2227,2674,1647,1764,1507,2115,1679,2137,2123,2184,1593,1287,1136,850,485,7.4,13.1,3,6.7,8,5,5.3,4.5,6.4,5.1,6.4,6.4,6.6,4.8,3.9,3.4,2.6,1.5,1619,2052,1936,1565,1326,2575,1982,1747,1797,2982,2416,2438,2062,1955,1733,1022,1258,1005,4.8,6.1,5.8,4.7,4,7.7,5.9,5.2,5.4,8.9,7.2,7.3,6.2,5.8,5.2,3.1,3.8,3
0500000US13285,Troup,Georgia,2254,2263,2270,1827,2769,2845,2803,1495,1977,1608,1736,2151,1946,1830,1252,986,298,254,6.9,6.9,7,5.6,8.5,8.7,8.6,4.6,6.1,4.9,5.3,6.6,6,5.6,3.8,3,0.9,0.8,2214,2434,2402,2385,2319,3494,2438,2409,2068,2092,2195,2662,2219,1764,2109,770,605,779,5.9,6.5,6.4,6.4,6.2,9.4,6.5,6.4,5.5,5.6,5.9,7.1,5.9,4.7,5.6,2.1,1.6,2.1
0500000US13295,Walker,Georgia,2564,2320,2032,2419,2401,2224,1924,1898,2385,2173,2081,2667,2532,1978,1459,1662,401,272,7.2,6.6,5.7,6.8,6.8,6.3,5.4,5.4,6.7,6.1,5.9,7.5,7.2,5.6,4.1,4.7,1.1,0.8,1299,1815,2312,1730,1739,2249,1908,2573,2132,2286,2098,2178,2838,1794,2145,1463,1115,695,3.8,5.3,6.7,5,5.1,6.5,5.6,7.5,6.2,6.7,6.1,6.3,8.3,5.2,6.2,4.3,3.2,2
0500000US13297,Walton,Georgia,2742,3150,3734,2322,2425,3665,3288,2850,2855,3524,2994,2989,2700,2820,1729,876,590,837,5.9,6.8,8.1,5,5.3,8,7.1,6.2,6.2,7.6,6.5,6.5,5.9,6.1,3.8,1.9,1.3,1.8,2503,3608,3031,3372,2358,3190,3288,3158,2259,3989,3139,2897,3453,2777,2302,1058,808,1313,5.2,7.4,6.2,7,4.9,6.6,6.8,6.5,4.7,8.2,6.5,6,7.1,5.7,4.7,2.2,1.7,2.7
0500000US13313,Whitfield,Georgia,3470,4261,3687,3982,3813,3358,3024,4173,3508,2995,3120,2464,3273,1990,1912,1180,1455,93,6.7,8.2,7.1,7.7,7.4,6.5,5.8,8.1,6.8,5.8,6,4.8,6.3,3.8,3.7,2.3,2.8,0.2,3494,3894,3617,3547,3422,3091,3272,4027,3398,2968,3533,3335,2952,2197,2170,1627,1534,792,6.6,7.4,6.8,6.7,6.5,5.8,6.2,7.6,6.4,5.6,6.7,6.3,5.6,4.2,4.1,3.1,2.9,1.5
0500000US15001,Hawaii,Hawaii,5809,6235,6551,5869,5185,5115,5527,7678,4165,5108,6893,6065,8421,9525,4797,3345,2362,1384,5.8,6.2,6.5,5.9,5.2,5.1,5.5,7.7,4.2,5.1,6.9,6.1,8.4,9.5,4.8,3.3,2.4,1.4,5605,5496,6547,5093,5251,5706,4774,7124,6716,5505,5926,5575,9549,9039,4584,4394,1923,2672,5.5,5.4,6.5,5,5.2,5.6,4.7,7,6.6,5.4,5.8,5.5,9.4,8.9,4.5,4.3,1.9,2.6
