id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US42133,York,Pennsylvania,175441,4.3,3.1,8,7.4,12.3,19.4,14.2,19,6.9,5.4,69172,85972,16800,High
0500000US44003,Kent,Rhode Island,70166,4.1,2.7,7.8,6.5,9.6,19.9,15.4,19.7,7.7,6.6,74474,92956,18482,High
0500000US44005,Newport,Rhode Island,33690,5.9,1.7,5.5,7.4,9.8,15.1,13.6,18,10.5,12.5,81652,120476,38824,Very High
0500000US44007,Providence,Rhode Island,237518,6.7,5.8,8.7,8,12,16.7,14.2,15.9,6.7,5.4,62994,80824,17830,Middle
0500000US44009,Washington,Rhode Island,48051,3.2,3.1,4.3,8.8,8.4,14.6,11,22.4,11.9,12.4,90003,114130,24127,Very High
0500000US45003,Aiken,South Carolina,67889,6.5,6.2,11.8,7,14.4,18.4,13.9,12.8,5.3,3.6,55634,70238,14604,Low
0500000US45007,Anderson,South Carolina,75825,5.5,5.1,11.5,10.3,13.4,18.9,13,13.4,3.4,5.6,54322,75079,20757,Very Low
0500000US45013,Beaufort,South Carolina,73043,3.8,2.4,4.9,10.2,12.9,16.6,13.8,15,8.2,12.1,74127,109158,35031,High
0500000US45015,Berkeley,South Carolina,80640,5.7,2.8,6,8,12.2,19.4,14.8,20.8,5.7,4.7,69398,88180,18782,High
0500000US45019,Charleston,South Carolina,165568,6.7,2.6,7.9,6.1,11.2,17.3,12.3,16,8.4,11.4,71531,104326,32795,High
0500000US45031,Darlington,South Carolina,24801,7.3,7.4,17.6,10.1,11.6,13.3,11.6,13.7,4.4,3,44606,62715,18109,Very Low
0500000US45035,Dorchester,South Carolina,57768,3.2,3.6,6,9.6,14.8,16.9,15.3,17.9,8.1,4.5,68200,82692,14492,High
0500000US45041,Florence,South Carolina,53047,10.1,5,9.2,10,15.6,17.8,12,12.9,3.8,3.5,50082,67730,17648,Very Low
0500000US45045,Greenville,South Carolina,199551,5.4,3.2,7.3,9.6,14,17.6,13.1,15.4,6.7,7.7,64412,89338,24926,Middle
0500000US45047,Greenwood,South Carolina,28544,10.6,5,14.5,12,15.5,18.2,10.1,8.6,2.9,2.7,42148,60025,17877,Very Low
0500000US45051,Horry,South Carolina,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low
0500000US45055,Kershaw,South Carolina,24544,10,4.9,10.5,8.4,13.5,14.1,12.3,17.1,5.5,3.8,55198,70638,15440,Low
0500000US45057,Lancaster,South Carolina,35410,6,6.9,9.3,5,10.6,22,13.2,13.5,6.7,6.8,63924,82785,18861,Middle
0500000US45059,Laurens,South Carolina,25901,10.6,5.1,13.8,8.7,13.5,20.9,10.9,9.1,4.5,3,47218,67205,19987,Very Low
0500000US45063,Lexington,South Carolina,118193,4.9,4.1,9.6,8.5,13.7,16.8,14.1,15,6.9,6.4,61631,83728,22097,Middle
0500000US45073,Oconee,South Carolina,31530,10.6,3.1,7.1,11.8,18.2,14.8,14.2,11.1,5.3,3.7,48204,74520,26316,Very Low
0500000US45075,Orangeburg,South Carolina,32129,15.3,9.1,10.2,12.5,15.9,14.4,9.5,9.8,2.4,0.9,37701,52664,14963,Very Low
0500000US45077,Pickens,South Carolina,48203,6.7,5.6,11.6,10.2,14.1,19.8,13.3,13,3.2,2.7,52190,66080,13890,Very Low
0500000US45079,Richland,South Carolina,153484,9.7,3.5,9.9,9.3,14.7,16.4,12,12.7,6.6,5,52293,76348,24055,Very Low
0500000US45083,Spartanburg,South Carolina,121256,5.8,5.1,9.9,10,13.1,21.7,13.3,12.7,4.4,4,55339,71932,16593,Low
0500000US45085,Sumter,South Carolina,44105,9.7,4.6,12.3,6.8,15.2,21.8,13.1,11.1,3.6,1.8,51025,61173,10148,Very Low
0500000US45091,York,South Carolina,108400,3.6,2.8,6.9,9.1,14.2,17.6,12.5,16.8,9.2,7.4,66949,93013,26064,High
0500000US46099,Minnehaha,South Dakota,81046,4,3.2,7.6,9.9,13.1,21.4,13.4,14.9,7.2,5.4,61968,81628,19660,Middle
0500000US46103,Pennington,South Dakota,44676,3.9,6,12.6,9.4,10.1,18.9,13.2,16.2,4.7,4.8,58085,77493,19408,Low
0500000US47001,Anderson,Tennessee,30175,7.6,5.6,10.6,10.4,16.7,17.8,13,11.1,4,3.3,49044,65367,16323,Very Low
