id,county,state,total_pop,white,prop_white,black,prop_black,asian,prop_asian,am_in_alask,prop_am_in_alask,hawaii_pi,prop_hawaii_pi,other,prop_other
0500000US12031,Duval,Florida,957755,560489,58.521124922344434,285600,29.81973469206634,45052,4.703916972503406,3571,0.3728510944865858,471,0.04917750364132789,26704,2.7881869580425054
0500000US12033,Escambia,Florida,318316,215114,67.578758215107,70833,22.25241583834931,7999,2.5129116978097237,841,0.26420286759069606,0,0,5560,1.746691966473567
0500000US12035,Flagler,Florida,115081,94443,82.06654443392046,10232,8.891128857065892,3523,3.061322025356054,360,0.31282314196087974,816,0.7090657884446607,2595,2.2549334816346747
0500000US12053,Hernando,Florida,193920,169692,87.50618811881188,11013,5.67914603960396,1931,0.9957714521452145,371,0.19131600660066006,225,0.11602722772277227,3248,1.6749174917491747
0500000US12055,Highlands,Florida,106221,89142,83.92125850820459,11765,11.075964263187128,1649,1.552423720356615,54,0.0508374050329031,0,0,3134,2.95045235876145
0500000US12057,Hillsborough,Florida,1471968,1024028,69.56863192678102,255003,17.323949977173417,60593,4.116461770908064,2528,0.1717428639753038,1643,0.1116192743320507,73154,4.969809126285353
0500000US12061,Indian River,Florida,159923,138076,86.33905066813405,15496,9.689663150391127,1688,1.0555079632072937,171,0.10692645835808483,0,0,1889,1.1811934493474985
0500000US12069,Lake,Florida,367118,298056,81.18806487287466,39377,10.725979112982746,7842,2.1360979303657137,1047,0.28519440615823793,646,0.17596522099161577,10885,2.96498673451043
0500000US12071,Lee,Florida,770577,644360,83.62045584023402,66440,8.62211044451106,12761,1.6560317787839502,1432,0.18583477056802888,951,0.12341401313561136,31024,4.026073967948693
0500000US12073,Leon,Florida,293582,178573,60.825595574660575,92373,31.46412245982383,11072,3.7713483796690532,548,0.18665994509200157,71,0.02418404398089801,3260,1.1104223010947538
0500000US12081,Manatee,Florida,403253,343991,85.30401509722184,36200,8.97699459148475,8590,2.1301763409075694,569,0.14110248404847575,0,0,7020,1.7408425975752195
0500000US12083,Marion,Florida,365579,299730,81.98775093755386,48342,13.22340725260477,4194,1.1472212572385174,1486,0.40647849028527355,0,0,4469,1.2224443964232081
0500000US12085,Martin,Florida,161000,144003,89.44285714285715,7813,4.852795031055901,2398,1.4894409937888198,672,0.41739130434782606,0,0,2483,1.5422360248447204
0500000US12086,Miami-Dade,Florida,2716940,2053027,75.56394325969657,456189,16.790543773509906,42480,1.5635236700111153,4788,0.17622766789108335,986,0.03629082718057815,106731,3.9283532209029275
0500000US12087,Monroe,Florida,74228,63808,85.9621706094735,6291,8.475238454491567,1319,1.7769574823516734,82,0.11047044242064989,73,0.0983456377647249,2079,2.8008298755186725
0500000US12089,Nassau,Florida,88625,78703,88.80451339915373,5674,6.402256699576869,564,0.63638928067701,416,0.4693935119887165,0,0,2100,2.3695345557122707
0500000US12091,Okaloosa,Florida,210738,162222,76.9780485721607,17644,8.372481469882032,6656,3.158424204462413,1017,0.4825897560003417,211,0.10012432499122133,8265,3.9219314978788824
0500000US12095,Orange,Florida,1393452,885765,63.56623694249963,296070,21.247233489205225,75180,5.395234281482247,4334,0.31102614227113673,1614,0.1158274558434736,78188,5.6111010641198975
0500000US12097,Osceola,Florida,375751,269428,71.70386772091092,45340,12.066501486356657,10167,2.7057812221391293,692,0.18416451320156169,135,0.035928048095680384,38838,10.33610023659285
0500000US12099,Palm Beach,Florida,1496770,1083567,72.39368774093549,284114,18.98180749213306,41879,2.7979582701417054,5574,0.37240190543637297,177,0.011825464166171156,40278,2.6909946083900667
0500000US12101,Pasco,Florida,553947,475775,85.88818063821991,33988,6.135605030806196,14880,2.6861775585028895,1456,0.26284102991802466,399,0.07202855146792021,8648,1.561160183194421
0500000US12103,Pinellas,Florida,974996,791030,81.13161489893291,98811,10.134503115910219,33833,3.4700655182175106,2496,0.25600105026071907,499,0.05117969714747547,12819,1.3147746247164092
0500000US12105,Polk,Florida,724777,543681,75.01355589374387,110868,15.296843028959254,13001,1.7937931253337234,3032,0.4183355708031574,303,0.04180596238567173,36903,5.091635082239089
0500000US12107,Putnam,Florida,74521,59972,80.4766441674159,12245,16.431609881778293,547,0.7340212825914844,485,0.6508232578736195,0,0,247,0.3314501952469774
0500000US12109,St. Johns,Florida,264672,233178,88.10074356184259,15216,5.7490025389916575,6379,2.4101529440212794,964,0.36422439850078586,362,0.13677306250755653,1226,0.4632148470559787
0500000US12111,St. Lucie,Florida,328297,236472,72.0298997554044,64013,19.498502880014136,6945,2.1154625232639956,1009,0.3073436552877425,315,0.09594970407892853,8121,2.4736747518253286
0500000US12113,Santa Rosa,Florida,184313,157163,85.26962286979214,11268,6.113513425531568,4445,2.4116584288682836,518,0.2810436594271701,666,0.36134184783493295,2678,1.4529631659188447
0500000US12115,Sarasota,Florida,433742,392685,90.53423463718063,18428,4.248608619870799,7194,1.658589668512618,878,0.20242448275703068,35,0.008069313093959082,4224,0.9738508145395188
0500000US12117,Seminole,Florida,471826,337829,71.60033571698041,59469,12.604010800591745,22594,4.788629706713916,2021,0.42833586957903974,175,0.03708994417433545,36774,7.793974897525782
0500000US12119,Sumter,Florida,132420,119040,89.89578613502492,8298,6.266425011327594,1546,1.1674973568947289,1444,1.0904697175653224,0,0,587,0.443286512611388
0500000US12127,Volusia,Florida,553284,435185,78.6549041721792,58899,10.645346693560631,10431,1.8852885678964149,946,0.17097909934138705,54,0.009759906304899474,33368,6.03089914040529
0500000US12131,Walton,Florida,74071,64977,87.72259048750524,2908,3.9259629274614896,0,0,731,0.986890955974673,0,0,1906,2.5732067880817056
0500000US13013,Barrow,Georgia,83240,64541,77.53604036520903,10094,12.126381547333013,3227,3.8767419509851035,143,0.17179240749639596,0,0,2309,2.7739067755886593
0500000US13015,Bartow,Georgia,107738,90062,83.59353245837123,11529,10.700959735655015,571,0.5299894187751768,21,0.01949172993744083,0,0,2425,2.250830718966381
0500000US13021,Bibb,Georgia,153159,60153,39.2748712122696,83244,54.35136035100777,3412,2.2277502464758845,0,0,130,0.08487911255623241,2109,1.3770003721622628
0500000US13031,Bulloch,Georgia,79608,51797,65.06506883730279,22620,28.414229725655716,965,1.2121897296754094,217,0.27258566978193144,0,0,1045,1.3126821424982413
0500000US13045,Carroll,Georgia,119992,88404,73.67491166077738,24670,20.55970398026535,1254,1.0450696713114207,581,0.4841989465964398,0,0,4039,3.366057737182479
0500000US13047,Catoosa,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US13051,Chatham,Georgia,289430,149040,51.49431641502263,118414,40.912828663234635,7984,2.758525377466054,993,0.3430881387554849,66,0.022803441246588122,7718,2.6666205991085925
0500000US13057,Cherokee,Georgia,258773,220530,85.22141027077787,19696,7.611304115962639,4634,1.7907586958453934,2545,0.9834874581196646,0,0,5627,2.174492702097978
0500000US13059,Clarke,Georgia,128331,80775,62.942702854337604,36161,28.177914923128473,5434,4.2343627026984905,28,0.021818578519609447,0,0,1818,1.4166491338803564
