id,county,state,age,sex,total,percent
0500000US01077,Lauderdale County, Alabama,15 to 19 ,male,3345,7.5
0500000US01077,Lauderdale County, Alabama,20 to 24 ,male,3875,8.7
0500000US01077,Lauderdale County, Alabama,25 to 29 ,male,2887,6.4
0500000US01077,Lauderdale County, Alabama,30 to 34 ,male,2391,5.3
0500000US01077,Lauderdale County, Alabama,35 to 39 ,male,3467,7.7
0500000US01077,Lauderdale County, Alabama,40 to 44 ,male,1838,4.1
0500000US01077,Lauderdale County, Alabama,45 to 49 ,male,2539,5.7
0500000US01077,Lauderdale County, Alabama,50 to 54 ,male,2868,6.4
0500000US01077,Lauderdale County, Alabama,55 to 59 ,male,2494,5.6
0500000US01077,Lauderdale County, Alabama,60 to 64 ,male,3434,7.7
0500000US01077,Lauderdale County, Alabama,65 to 69 ,male,2943,6.6
0500000US01077,Lauderdale County, Alabama,70 to 74 ,male,2090,4.7
0500000US01077,Lauderdale County, Alabama,75 to 79 ,male,1815,4.1
0500000US01077,Lauderdale County, Alabama,80 to 84 ,male,1085,2.4
0500000US01077,Lauderdale County, Alabama,85+,male,382,0.9
0500000US01081,Lee County, Alabama,0-5 ,male,5377,6.5
0500000US01081,Lee County, Alabama,5 to 9 ,male,7183,8.7
0500000US01081,Lee County, Alabama,10 to 14 ,male,3690,4.5
0500000US01081,Lee County, Alabama,15 to 19 ,male,6325,7.7
0500000US01081,Lee County, Alabama,20 to 24 ,male,10718,13
0500000US01081,Lee County, Alabama,25 to 29 ,male,5984,7.3
0500000US01081,Lee County, Alabama,30 to 34 ,male,4963,6
0500000US01081,Lee County, Alabama,35 to 39 ,male,7559,9.2
0500000US01081,Lee County, Alabama,40 to 44 ,male,4032,4.9
0500000US01081,Lee County, Alabama,45 to 49 ,male,4248,5.2
0500000US01081,Lee County, Alabama,50 to 54 ,male,4595,5.6
0500000US01081,Lee County, Alabama,55 to 59 ,male,4193,5.1
0500000US01081,Lee County, Alabama,60 to 64 ,male,4223,5.1
0500000US01081,Lee County, Alabama,65 to 69 ,male,3428,4.2
0500000US01081,Lee County, Alabama,70 to 74 ,male,2667,3.2
0500000US01081,Lee County, Alabama,75 to 79 ,male,1813,2.2
0500000US01081,Lee County, Alabama,80 to 84 ,male,931,1.1
0500000US01081,Lee County, Alabama,85+,male,476,0.6
0500000US01083,Limestone County, Alabama,0-5 ,male,3042,6.2
0500000US01083,Limestone County, Alabama,5 to 9 ,male,2678,5.5
0500000US01083,Limestone County, Alabama,10 to 14 ,male,3222,6.6
0500000US01083,Limestone County, Alabama,15 to 19 ,male,2938,6
0500000US01083,Limestone County, Alabama,20 to 24 ,male,3103,6.3
0500000US01083,Limestone County, Alabama,25 to 29 ,male,3402,6.9
0500000US01083,Limestone County, Alabama,30 to 34 ,male,2758,5.6
0500000US01083,Limestone County, Alabama,35 to 39 ,male,3119,6.4
0500000US01083,Limestone County, Alabama,40 to 44 ,male,3755,7.7
0500000US01083,Limestone County, Alabama,45 to 49 ,male,4078,8.3
0500000US01083,Limestone County, Alabama,50 to 54 ,male,3346,6.8
0500000US01083,Limestone County, Alabama,55 to 59 ,male,3353,6.8
0500000US01083,Limestone County, Alabama,60 to 64 ,male,2863,5.8
0500000US01083,Limestone County, Alabama,65 to 69 ,male,2383,4.9
0500000US01083,Limestone County, Alabama,70 to 74 ,male,2239,4.6
0500000US01083,Limestone County, Alabama,75 to 79 ,male,1190,2.4
0500000US01083,Limestone County, Alabama,80 to 84 ,male,991,2
0500000US01083,Limestone County, Alabama,85+,male,500,1
0500000US01089,Madison County, Alabama,0-5 ,male,10651,5.9
0500000US01089,Madison County, Alabama,5 to 9 ,male,11002,6.1
0500000US01089,Madison County, Alabama,10 to 14 ,male,12022,6.6
0500000US01089,Madison County, Alabama,15 to 19 ,male,11710,6.5
0500000US01089,Madison County, Alabama,20 to 24 ,male,12640,7
0500000US01089,Madison County, Alabama,25 to 29 ,male,13479,7.4
0500000US01089,Madison County, Alabama,30 to 34 ,male,13201,7.3
0500000US01089,Madison County, Alabama,35 to 39 ,male,14084,7.8
0500000US01089,Madison County, Alabama,40 to 44 ,male,8849,4.9
0500000US01089,Madison County, Alabama,45 to 49 ,male,10908,6
0500000US01089,Madison County, Alabama,50 to 54 ,male,11908,6.6
0500000US01089,Madison County, Alabama,55 to 59 ,male,12716,7
0500000US01089,Madison County, Alabama,60 to 64 ,male,12556,6.9
0500000US01089,Madison County, Alabama,65 to 69 ,male,8541,4.7
0500000US01089,Madison County, Alabama,70 to 74 ,male,6969,3.8
0500000US01089,Madison County, Alabama,75 to 79 ,male,3864,2.1
0500000US01089,Madison County, Alabama,80 to 84 ,male,3059,1.7
0500000US01089,Madison County, Alabama,85+,male,2893,1.6
0500000US01095,Marshall County, Alabama,0-5 ,male,2392,5.2
0500000US01095,Marshall County, Alabama,5 to 9 ,male,3024,6.5
0500000US01095,Marshall County, Alabama,10 to 14 ,male,3472,7.5
0500000US01095,Marshall County, Alabama,15 to 19 ,male,2749,5.9
0500000US01095,Marshall County, Alabama,20 to 24 ,male,3092,6.7
0500000US01095,Marshall County, Alabama,25 to 29 ,male,3075,6.6
0500000US01095,Marshall County, Alabama,30 to 34 ,male,3046,6.6
0500000US01095,Marshall County, Alabama,35 to 39 ,male,2481,5.3
0500000US01095,Marshall County, Alabama,40 to 44 ,male,3578,7.7
0500000US01095,Marshall County, Alabama,45 to 49 ,male,2885,6.2
0500000US01095,Marshall County, Alabama,50 to 54 ,male,2907,6.3
0500000US01095,Marshall County, Alabama,55 to 59 ,male,2988,6.4
0500000US01095,Marshall County, Alabama,60 to 64 ,male,3376,7.3
0500000US01095,Marshall County, Alabama,65 to 69 ,male,2369,5.1
0500000US01095,Marshall County, Alabama,70 to 74 ,male,2217,4.8
0500000US01095,Marshall County, Alabama,75 to 79 ,male,1706,3.7
0500000US01095,Marshall County, Alabama,80 to 84 ,male,587,1.3
0500000US01095,Marshall County, Alabama,85+,male,431,0.9
0500000US01097,Mobile County, Alabama,0-5 ,male,13469,6.9
0500000US01097,Mobile County, Alabama,5 to 9 ,male,11570,5.9
0500000US01097,Mobile County, Alabama,10 to 14 ,male,15031,7.7
0500000US01097,Mobile County, Alabama,15 to 19 ,male,13732,7
0500000US01097,Mobile County, Alabama,20 to 24 ,male,12769,6.5
0500000US01097,Mobile County, Alabama,25 to 29 ,male,15102,7.7
