year,month,day,event_type,sub_event_type,state,county,city,latitude,longitude,fatalities,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
2020,5,29,Protests,Peaceful protest,Mississippi,Forrest,Petal,31.347,-89.26,0,0500000US28035,27340,9.5,8.7,11.4,15.7,15.9,19,6.5,7.5,2.9,3,39063,57488,18425,Very Low
2020,5,29,Riots,Violent demonstration,Colorado,Denver,Denver,39.739,-104.991,0,0500000US08031,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,106715,31069,Very High
2020,5,29,Strategic developments,Change to group/activity,Minnesota,Ramsey,Saint Paul,44.951,-93.095,0,0500000US27123,206124,5.4,3.5,6.9,7.6,13,17.7,12.9,18.2,7.6,7,68871,90789,21918,High
2020,5,29,Riots,Violent demonstration,Nebraska,Douglas,Omaha,41.257,-95.934,0,0500000US31055,222819,5.3,3.3,7.7,8,11.9,19,14.4,16.8,6.8,6.9,67133,89637,22504,High
2020,5,29,Protests,Peaceful protest,Iowa,Black Hawk,Waterloo,42.493,-92.343,0,0500000US19013,51869,6.7,3.4,7.5,8.9,14.5,20.6,13.2,14.1,5.2,5.9,60506,83308,22802,Middle
2020,5,29,Protests,Peaceful protest,California,San Diego,La Mesa,32.768,-117.028,0,0500000US06073,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,28801,Very High
2020,5,29,Protests,Peaceful protest,Alabama,Pike,Troy,31.809,-85.97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Florida,Osceola,Kissimmee,28.304,-81.413,0,0500000US12097,111539,5.3,3.8,10.8,9,18.9,21.9,12.3,10.7,4.3,3,51760,68266,16506,Very Low
2020,5,29,Protests,Peaceful protest,Louisiana,Orleans,New Orleans,29.955,-90.075,0,0500000US22071,151753,16.5,5.8,11,8.9,10.2,15.1,8.6,10.9,5.3,7.7,45615,77676,32061,Very Low
2020,5,29,Protests,Peaceful protest,Florida,Escambia,Pensacola,30.421,-87.217,0,0500000US12033,120618,6.5,4.5,10.7,10.1,15,18.9,11.9,13.9,4.2,4.2,53136,73632,20496,Very Low
2020,5,29,Protests,Peaceful protest,Georgia,Floyd,Rome,34.257,-85.165,0,0500000US13115,35443,6.1,4.1,13.9,11.4,14.1,18.1,11.9,12.9,4.4,3.2,50880,68905,18025,Very Low
2020,5,29,Protests,Peaceful protest,Florida,Pinellas,Saint Petersburg,27.767,-82.641,0,0500000US12103,395286,6.1,4.1,8.9,9.6,14.5,17.7,13.7,13.4,5.3,6.7,56737,83277,26540,Low
2020,5,29,Protests,Peaceful protest,Florida,Seminole,Sanford,28.803,-81.27,0,0500000US12117,181142,4.2,2.4,7.1,7.8,13.1,18.7,14.3,15.1,8,9.3,70190,95285,25095,High
2020,5,29,Protests,Peaceful protest,Georgia,Chatham,Savannah,32.084,-81.1,0,0500000US13051,107987,6.6,5.2,11,9,11.7,19.3,12.6,14.4,4.2,6.1,57611,80418,22807,Low
2020,5,29,Protests,Peaceful protest,Arkansas,Washington,Springdale,36.187,-94.129,0,0500000US05143,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798,72353,21555,Very Low
2020,5,29,Protests,Peaceful protest,Florida,Leon,Tallahassee,30.438,-84.28,0,0500000US12073,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,21040,Very Low
2020,5,29,Protests,Peaceful protest,Ohio,Defiance,Defiance,41.284,-84.356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Virginia,Charlottesville,Charlottesville,38.029,-78.477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Protest with intervention,District of Columbia,District of Columbia,Washington DC,38.89,-77.009,0,0500000US11001,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266,135369,43103,Very High
2020,5,29,Protests,Peaceful protest,Michigan,Washtenaw,Ann Arbor,42.28,-83.746,0,0500000US26161,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576,107685,31109,Very High
2020,5,29,Protests,Peaceful protest,Michigan,Washtenaw,Ypsilanti,42.243,-83.618,0,0500000US26161,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576,107685,31109,Very High
2020,5,29,Protests,Peaceful protest,Michigan,Bay,Bay City,43.594,-83.889,0,0500000US26017,44887,7.3,3.7,9.1,12.5,18,15.9,13.3,12.1,4.9,3.2,49610,67223,17613,Very Low
2020,5,29,Riots,Violent demonstration,New Mexico,Bernalillo,Albuquerque,35.084,-106.651,0,0500000US35001,271307,7.9,5.1,9.3,9.5,12.6,18.2,12.5,13.4,5.8,5.7,56115,78477,22362,Low
2020,5,29,Protests,Peaceful protest,Oregon,Clatsop,Astoria,46.188,-123.831,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Georgia,Clarke,Athens,33.961,-83.378,0,0500000US13059,52124,11.2,8.2,14.8,11.1,12.9,16,8.6,8.9,3.8,4.6,39799,64933,25134,Very Low
2020,5,29,Riots,Violent demonstration,Maryland,Baltimore City,Baltimore,39.29,-76.612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Virginia,Montgomery,Blacksburg,37.23,-80.414,0,0500000US51121,36244,13.1,3.3,5.9,9,11.8,21.2,11.2,10.9,7.1,6.5,60045,77645,17600,Middle
2020,5,29,Protests,Peaceful protest,Illinois,McLean,Bloomington,40.484,-88.994,0,0500000US17113,65118,11.6,2.5,6.9,6,10.2,16.7,13.2,18,7.4,7.5,68784,88239,19455,High
2020,5,29,Protests,Peaceful protest,Missouri,Jackson,Blue Springs,39.017,-94.276,0,0500000US29095,292571,7.3,3.9,10.2,8.8,13,18.7,12.8,15,5.7,4.5,57936,75915,17979,Low
2020,5,29,Protests,Peaceful protest,Georgia,Glynn,Brunswick,31.15,-81.491,0,0500000US13127,34614,5.8,3.8,13,9.7,8.3,22,10.4,16.7,4.9,5.5,59004,82009,23005,Low
2020,5,29,Protests,Protest with intervention,Ohio,Stark,Canton,40.799,-81.378,0,0500000US39151,154280,6.1,4.6,10.5,10.2,14.3,19.9,12.4,14.1,4.2,3.8,55499,71726,16227,Low
2020,5,29,Protests,Peaceful protest,Ohio,Cuyahoga,Cleveland,41.482,-81.67,0,0500000US39035,549471,8.5,5.7,10.4,9.9,12.9,18.2,11.7,12.6,4.8,5.4,52423,75382,22959,Very Low
2020,5,29,Protests,Peaceful protest,Texas,Brazos,College Station,30.628,-96.334,0,0500000US48041,79971,11.5,4,9.9,8.3,12.6,16.8,14,11.9,4.4,6.5,55121,76849,21728,Low
