county,state,age_under_5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,age_pct_under_5,age_pct_5_9,age_pct_10_14,age_pct_15_19,age_pct_20_24,age_pct_25_29,age_pct_30_34,age_pct_35_39,age_pct_40_44,age_pct_45_49,age_pct_50_54,age_pct_55_59,age_pct_60_64,age_pct_65_69,age_pct_70_74,age_pct_75_79,age_pct_80_84,age_pct_85_over
Cumberland,Pennsylvania,13651,13848,15635,16098,16186,15751,16829,14791,15764,15519,17903,17308,16337,14943,12125,8826,5160,6696,5.4,5.5,6.2,6.4,6.4,6.2,6.6,5.8,6.2,6.1,7.1,6.8,6.4,5.9,4.8,3.5,2,2.6
Dauphin,Pennsylvania,17005,16128,18656,17680,15361,20182,18181,17526,15594,17805,17663,19042,19398,16090,12235,8785,5054,5914,6.1,5.8,6.7,6.4,5.5,7.3,6.5,6.3,5.6,6.4,6.3,6.8,7,5.8,4.4,3.2,1.8,2.1
Delaware,Pennsylvania,33523,32553,36925,39471,37899,35838,37218,37718,31877,33609,36016,41136,38347,31487,22432,15101,10565,15032,5.9,5.7,6.5,7,6.7,6.3,6.6,6.7,5.6,5.9,6.4,7.3,6.8,5.6,4,2.7,1.9,2.7
Erie,Pennsylvania,14981,15838,16080,18567,17507,17135,17540,16321,15272,16047,16739,18501,19405,17531,11144,8786,5675,6659,5.6,5.9,6,6.9,6.5,6.4,6.5,6.1,5.7,5.9,6.2,6.9,7.2,6.5,4.1,3.3,2.1,2.5
Fayette,Pennsylvania,6627,7105,6279,6883,6945,8374,7472,6960,7253,8372,9201,10176,10005,9005,6968,4848,2864,3937,5.1,5.5,4.9,5.3,5.4,6.5,5.8,5.4,5.6,6.5,7.1,7.9,7.7,7,5.4,3.8,2.2,3
Franklin,Pennsylvania,9126,9269,10271,9194,7678,8604,9186,9997,9382,10233,10048,9562,11266,8117,8820,6128,4267,3879,5.9,6,6.6,5.9,5,5.6,5.9,6.4,6.1,6.6,6.5,6.2,7.3,5.2,5.7,4,2.8,2.5
Indiana,Pennsylvania,3690,4630,4115,7129,7609,6138,4497,4223,4133,4397,5033,5150,6660,5671,3817,2824,2145,2212,4.4,5.5,4.9,8.5,9.1,7.3,5.3,5,4.9,5.2,6,6.1,7.9,6.7,4.5,3.4,2.6,2.6
Lackawanna,Pennsylvania,10970,11024,13640,12898,11170,13118,13862,12918,11671,12976,13001,14249,15468,13949,10003,8511,4442,5804,5.2,5.3,6.5,6.2,5.3,6.3,6.6,6.2,5.6,6.2,6.2,6.8,7.4,6.7,4.8,4.1,2.1,2.8
Lancaster,Pennsylvania,35323,35685,35794,35958,33341,37001,35219,36725,27144,29230,32480,35152,36326,31791,22845,18556,11658,15496,6.5,6.5,6.6,6.6,6.1,6.8,6.5,6.7,5,5.4,6,6.4,6.7,5.8,4.2,3.4,2.1,2.8
Lawrence,Pennsylvania,4518,4187,5217,4992,4960,5015,4599,5489,3632,5241,5432,6385,6776,5723,4807,3211,2686,2642,5.3,4.9,6.1,5.8,5.8,5.9,5.4,6.4,4.2,6.1,6.4,7.5,7.9,6.7,5.6,3.8,3.1,3.1
Lebanon,Pennsylvania,7933,8544,10039,7850,9249,8831,8387,6840,9373,9067,8586,10394,9355,7752,7196,5361,3384,3652,5.6,6,7.1,5.5,6.5,6.2,5.9,4.8,6.6,6.4,6.1,7.3,6.6,5.5,5.1,3.8,2.4,2.6
Lehigh,Pennsylvania,21749,22705,23962,24461,23792,24575,23542,24471,22695,22337,23445,24764,23822,19632,15969,12367,7299,7731,5.9,6.1,6.5,6.6,6.4,6.7,6.4,6.6,6.1,6,6.3,6.7,6.5,5.3,4.3,3.3,2,2.1
Luzerne,Pennsylvania,16696,19620,15190,18947,19657,20862,19229,18859,19052,19335,21327,23106,22673,19052,15715,12309,7387,8401,5.3,6.2,4.8,6,6.2,6.6,6.1,5.9,6,6.1,6.7,7.3,7.1,6,5,3.9,2.3,2.6
Lycoming,Pennsylvania,5706,7229,6359,6939,6575,7488,7209,6969,6254,6708,7056,7840,8282,6806,5986,3786,2609,3498,5,6.4,5.6,6.1,5.8,6.6,6.4,6.2,5.5,5.9,6.2,6.9,7.3,6,5.3,3.3,2.3,3.1
Mercer,Pennsylvania,5462,5713,5788,6871,7273,6013,5666,4747,6381,6469,7628,8694,7973,7914,5832,3874,2964,4162,5,5.2,5.3,6.3,6.6,5.5,5.2,4.3,5.8,5.9,7,7.9,7.3,7.2,5.3,3.5,2.7,3.8
Monroe,Pennsylvania,7878,9427,9541,10902,13278,10433,9074,10571,7929,10348,13044,16047,11857,9757,8628,6380,2858,2319,4.6,5.5,5.6,6.4,7.8,6.1,5.3,6.2,4.7,6.1,7.7,9.4,7,5.7,5.1,3.7,1.7,1.4
Montgomery,Pennsylvania,45263,48053,53298,51438,46076,49907,54020,55149,51161,52171,55830,56984,60534,47839,36399,25628,18029,23136,5.4,5.8,6.4,6.2,5.5,6,6.5,6.6,6.2,6.3,6.7,6.9,7.3,5.8,4.4,3.1,2.2,2.8
Northampton,Pennsylvania,14371,15037,19558,21917,19284,17901,19565,16605,18461,18246,21175,19677,23733,18174,14511,12506,6036,8528,4.7,4.9,6.4,7.2,6.3,5.9,6.4,5.4,6,6,6.9,6.4,7.8,6,4.8,4.1,2,2.8
Northumberland,Pennsylvania,4494,4800,5571,4417,4623,5633,6669,5538,4410,5540,5841,6272,7466,5959,4847,3862,2968,1933,4.9,5.3,6.1,4.9,5.1,6.2,7.3,6.1,4.9,6.1,6.4,6.9,8.2,6.6,5.3,4.3,3.3,2.1
