county,state,age_under_5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,age_pct_under_5,age_pct_5_9,age_pct_10_14,age_pct_15_19,age_pct_20_24,age_pct_25_29,age_pct_30_34,age_pct_35_39,age_pct_40_44,age_pct_45_49,age_pct_50_54,age_pct_55_59,age_pct_60_64,age_pct_65_69,age_pct_70_74,age_pct_75_79,age_pct_80_84,age_pct_85_over
Walker,Texas,2654,1734,4859,6134,10863,4754,3734,4853,4652,5113,5290,4168,4329,3049,2791,1505,1500,989,3.6,2.4,6.7,8.4,14.9,6.5,5.1,6.7,6.4,7,7.2,5.7,5.9,4.2,3.8,2.1,2.1,1.4
Webb,Texas,24602,24561,25217,24681,21543,20382,17629,20196,15242,16998,14519,13506,10349,9655,6470,4274,2515,4313,8.9,8.9,9.1,8.9,7.8,7.4,6.4,7.3,5.5,6.1,5.2,4.9,3.7,3.5,2.3,1.5,0.9,1.6
Wichita,Texas,8257,9550,7477,8863,13072,9903,9381,7079,8292,7249,7401,8824,7162,6399,4820,2996,3114,2391,6.2,7.2,5.7,6.7,9.9,7.5,7.1,5.4,6.3,5.5,5.6,6.7,5.4,4.8,3.6,2.3,2.4,1.8
Williamson,Texas,37885,40995,44748,40119,32375,38206,44521,46739,50284,43712,35941,33121,28692,24126,22024,10672,8229,8162,6.4,6.9,7.6,6.8,5.5,6.5,7.5,7.9,8.5,7.4,6.1,5.6,4.9,4.1,3.7,1.8,1.4,1.4
Wise,Texas,4744,4302,5538,4878,3834,3796,4637,4445,4711,4441,4121,5912,4659,3060,2906,2237,1115,648,6.8,6.1,7.9,7,5.5,5.4,6.6,6.4,6.7,6.3,5.9,8.4,6.7,4.4,4.2,3.2,1.6,0.9
Cache,Utah,10554,11053,10395,12413,17041,11089,7684,8645,6886,5779,5157,3504,5540,3998,3377,2561,1695,918,8.2,8.6,8.1,9.7,13.3,8.6,6,6.7,5.4,4.5,4,2.7,4.3,3.1,2.6,2,1.3,0.7
Davis,Utah,28569,34327,30940,28875,23619,24046,25534,28038,25107,20072,16415,16525,16823,11871,9566,7059,4599,3496,8,9.7,8.7,8.1,6.6,6.8,7.2,7.9,7.1,5.6,4.6,4.6,4.7,3.3,2.7,2,1.3,1
Salt Lake,Utah,83055,85454,87735,82792,80923,99366,92206,93533,78700,70065,60150,56825,59030,46436,33551,23476,13588,13552,7.2,7.4,7.6,7.1,7,8.6,7.9,8.1,6.8,6,5.2,4.9,5.1,4,2.9,2,1.2,1.2
Tooele,Utah,5830,6053,7616,5611,3961,4947,5841,4721,5401,4680,4507,3331,3085,2458,1934,1015,501,767,8.1,8.4,10.5,7.8,5.5,6.8,8.1,6.5,7.5,6.5,6.2,4.6,4.3,3.4,2.7,1.4,0.7,1.1
Utah,Utah,58503,57611,59088,59997,80249,53549,39226,39489,41196,29830,24284,21422,21506,15991,13578,8941,6124,5651,9.2,9.1,9.3,9.4,12.6,8.4,6.2,6.2,6.5,4.7,3.8,3.4,3.4,2.5,2.1,1.4,1,0.9
Washington,Utah,11274,11851,14024,12021,12340,10754,9657,10323,10151,8401,8483,8588,10454,10543,10629,6504,7489,4070,6.3,6.7,7.9,6.8,6.9,6.1,5.4,5.8,5.7,4.7,4.8,4.8,5.9,5.9,6,3.7,4.2,2.3
Weber,Utah,19588,18264,22376,18928,18870,21316,19101,18956,17639,14270,12996,13552,13862,11102,8047,5752,3542,2052,7.5,7,8.6,7.3,7.3,8.2,7.3,7.3,6.8,5.5,5,5.2,5.3,4.3,3.1,2.2,1.4,0.8
Chittenden,Vermont,7556,7488,8001,13356,16529,13999,10325,10534,9560,9316,10105,10687,10093,8433,6718,5676,3550,1848,4.6,4.6,4.9,8.2,10.1,8.5,6.3,6.4,5.8,5.7,6.2,6.5,6.2,5.1,4.1,3.5,2.2,1.1
Albemarle,Virginia,5560,6122,5801,10105,7665,6673,6728,6566,5832,5846,7132,7208,7081,6736,5604,3578,2639,2454,5.1,5.6,5.3,9.2,7,6.1,6.2,6,5.3,5.3,6.5,6.6,6.5,6.2,5.1,3.3,2.4,2.2
Arlington,Virginia,13714,9787,13882,9117,15309,30483,26045,21013,18664,15783,13576,13783,9664,7719,8058,4373,3328,2544,5.8,4.1,5.9,3.8,6.5,12.9,11,8.9,7.9,6.7,5.7,5.8,4.1,3.3,3.4,1.8,1.4,1.1
Augusta,Virginia,3000,3961,3406,4150,3767,4458,4483,4668,5175,4607,5459,5924,5663,6092,3521,2690,2574,1960,4,5.2,4.5,5.5,5,5.9,5.9,6.2,6.8,6.1,7.2,7.8,7.5,8.1,4.7,3.6,3.4,2.6
Bedford,Virginia,3476,4978,4530,5093,4435,3997,3787,3475,4781,4852,5382,5768,7228,4860,5190,2987,2143,2035,4.4,6.3,5.7,6.4,5.6,5.1,4.8,4.4,6.1,6.1,6.8,7.3,9.1,6.2,6.6,3.8,2.7,2.6
Chesterfield,Virginia,21311,21916,24853,23060,22706,20707,22249,24255,23414,24448,22864,23713,23079,19771,15054,8902,5343,5157,6,6.2,7,6.5,6.4,5.9,6.3,6.9,6.6,6.9,6.5,6.7,6.5,5.6,4.3,2.5,1.5,1.5
Fairfax,Virginia,71835,69290,80092,74112,67073,74267,77495,87981,77783,81842,78536,76733,69864,52577,43574,28446,18541,17491,6.3,6,7,6.5,5.8,6.5,6.8,7.7,6.8,7.1,6.8,6.7,6.1,4.6,3.8,2.5,1.6,1.5
Fauquier,Virginia,3993,5084,4424,5020,3376,4787,3475,5310,3439,4407,5232,6277,4343,4139,3234,1395,1431,1856,5.6,7.1,6.2,7,4.7,6.7,4.9,7.5,4.8,6.2,7.3,8.8,6.1,5.8,4.5,2,2,2.6
Frederick,Virginia,4812,5254,7121,4710,4739,5406,5612,5155,5106,5995,6365,5649,7424,4753,4476,3491,1647,1598,5.4,5.9,8,5.3,5.3,6.1,6.3,5.8,5.7,6.7,7.1,6.3,8.3,5.3,5,3.9,1.8,1.8
Hanover,Virginia,5066,6354,7614,7930,5996,5084,5499,7180,6670,6891,7494,8302,8176,5440,5983,3089,2540,2458,4.7,5.9,7.1,7.4,5.6,4.7,5.1,6.7,6.2,6.4,7,7.7,7.6,5,5.6,2.9,2.4,2.3
Henrico,Virginia,19083,20131,22118,18985,18953,23965,24405,21861,22460,21751,21531,20948,20843,17075,14326,8590,6558,7235,5.8,6.1,6.7,5.7,5.7,7.2,7.4,6.6,6.8,6.6,6.5,6.3,6.3,5.2,4.3,2.6,2,2.2
James City,Virginia,3619,4016,4505,4128,3621,4080,4207,3722,4796,4289,4615,4897,6011,4146,7238,4179,2712,1742,4.7,5.2,5.9,5.4,4.7,5.3,5.5,4.9,6.3,5.6,6,6.4,7.9,5.4,9.5,5.5,3.5,2.3
Loudoun,Virginia,28235,31616,35518,30267,21106,19723,27419,34752,35642,35221,29747,26692,17450,12786,11663,6103,5268,4330,6.8,7.6,8.6,7.3,5.1,4.8,6.6,8.4,8.6,8.5,7.2,6.5,4.2,3.1,2.8,1.5,1.3,1
Montgomery,Virginia,4105,2954,4762,12534,17735,7123,5993,4895,5333,5038,5373,5006,4866,2786,4489,2014,2074,1455,4.2,3,4.8,12.7,18,7.2,6.1,5,5.4,5.1,5.5,5.1,4.9,2.8,4.6,2,2.1,1.5
Prince William,Virginia,34113,34568,36623,32801,29393,30528,31904,38608,32327,34213,32430,29484,24601,16574,14811,8159,5579,3619,7.3,7.3,7.8,7,6.2,6.5,6.8,8.2,6.9,7.3,6.9,6.3,5.2,3.5,3.1,1.7,1.2,0.8
Roanoke,Virginia,4508,4210,6347,7482,3644,5089,5587,5876,5465,6474,5904,6664,6117,5950,6224,3973,2175,2497,4.8,4.5,6.7,7.9,3.9,5.4,5.9,6.2,5.8,6.9,6.3,7.1,6.5,6.3,6.6,4.2,2.3,2.7
Rockingham,Virginia,4446,5107,5039,5119,5362,4493,4948,4921,4858,5594,4893,5547,5595,4439,4336,2278,1892,3081,5.4,6.2,6.1,6.2,6.5,5.5,6,6,5.9,6.8,6,6.8,6.8,5.4,5.3,2.8,2.3,3.8
Spotsylvania,Virginia,8331,8857,10778,9727,7776,7736,7877,10324,8649,8722,9543,9672,8323,5962,6214,3550,2209,1965,6.1,6.5,7.9,7.1,5.7,5.7,5.8,7.6,6.3,6.4,7,7.1,6.1,4.4,4.6,2.6,1.6,1.4
Stafford,Virginia,9907,11536,11134,11216,10620,9975,8871,11390,12224,10613,10744,12003,6334,5217,5124,3309,1640,1025,6.5,7.5,7.3,7.3,6.9,6.5,5.8,7.5,8,6.9,7,7.9,4.1,3.4,3.4,2.2,1.1,0.7
York,Virginia,4231,3980,5476,4287,3730,4004,3496,3779,5306,4600,4307,5587,4439,3425,2939,1836,1443,1415,6.2,5.8,8,6.3,5.5,5.9,5.1,5.5,7.8,6.7,6.3,8.2,6.5,5,4.3,2.7,2.1,2.1
Alexandria city,Virginia,11012,7627,6736,5459,6058,14889,20022,18142,12201,11410,8837,9152,9565,6660,4945,2548,1667,2498,6.9,4.8,4.2,3.4,3.8,9.3,12.6,11.4,7.7,7.2,5.5,5.7,6,4.2,3.1,1.6,1,1.6
Chesapeake city,Virginia,15477,16280,17264,16388,14681,15631,15811,20141,15499,16159,15875,14668,17447,12487,8277,5903,3886,2961,6.3,6.6,7.1,6.7,6,6.4,6.5,8.2,6.3,6.6,6.5,6,7.1,5.1,3.4,2.4,1.6,1.2
Hampton city,Virginia,7956,6748,9060,9315,10390,11835,10066,9987,5786,6465,7269,9169,9180,6228,6202,3866,2552,2436,5.9,5,6.7,6.9,7.7,8.8,7.5,7.4,4.3,4.8,5.4,6.8,6.8,4.6,4.6,2.9,1.9,1.8
Lynchburg city,Virginia,5278,3553,4981,7468,14243,8154,4912,4065,3382,3119,3403,4002,3853,3272,3144,2780,1011,1548,6.4,4.3,6.1,9.1,17.3,9.9,6,4.9,4.1,3.8,4.1,4.9,4.7,4,3.8,3.4,1.2,1.9
Newport News city,Virginia,13390,11574,10802,12430,13818,16698,14825,12620,9131,9021,9570,10078,11036,6353,8011,3726,3139,3003,7.5,6.5,6,6.9,7.7,9.3,8.3,7,5.1,5,5.3,5.6,6.2,3.5,4.5,2.1,1.8,1.7
Norfolk city,Virginia,15354,13068,12388,17416,32351,25851,20096,15632,12494,10864,12335,12857,13782,9998,7248,4648,2855,3505,6.3,5.4,5.1,7.2,13.3,10.6,8.3,6.4,5.1,4.5,5.1,5.3,5.7,4.1,3,1.9,1.2,1.4
Portsmouth city,Virginia,6544,6518,5431,6234,6047,8395,6274,5460,7239,4847,5253,5975,5893,5478,2904,2884,1222,1800,6.9,6.9,5.8,6.6,6.4,8.9,6.6,5.8,7.7,5.1,5.6,6.3,6.2,5.8,3.1,3.1,1.3,1.9
Richmond city,Virginia,13385,12071,8410,13979,19203,27351,23619,17207,11543,11490,12505,13283,14734,10262,8898,5629,2893,3974,5.8,5.2,3.6,6.1,8.3,11.9,10.2,7.5,5,5,5.4,5.8,6.4,4.5,3.9,2.4,1.3,1.7
Roanoke city,Virginia,6312,5515,6441,5993,6137,7218,7472,7650,4667,5945,6087,7649,5400,5310,4767,2435,1436,2709,6.4,5.6,6.5,6,6.2,7.3,7.5,7.7,4.7,6,6.1,7.7,5.4,5.4,4.8,2.5,1.4,2.7
Suffolk city,Virginia,6074,5777,6521,6705,4139,6138,6094,7650,4640,5954,6169,7267,5162,4936,3413,2506,1469,1494,6.6,6.3,7.1,7.3,4.5,6.7,6.6,8.3,5,6.5,6.7,7.9,5.6,5.4,3.7,2.7,1.6,1.6
Virginia Beach city,Virginia,27905,28468,26552,27589,29029,37312,35371,33909,27300,26954,26969,28343,28014,22089,17108,13050,7194,6818,6.2,6.3,5.9,6.1,6.5,8.3,7.9,7.5,6.1,6,6,6.3,6.2,4.9,3.8,2.9,1.6,1.5
Benton,Washington,13776,15286,15131,14274,12133,13635,13966,14176,14042,10486,11105,13362,11995,12164,6712,5596,3266,3285,6.7,7.5,7.4,7,5.9,6.7,6.8,6.9,6.9,5.1,5.4,6.5,5.9,6,3.3,2.7,1.6,1.6
Chelan,Washington,4484,4964,5774,5913,3115,4875,4481,5436,4407,4024,3976,5564,5544,5272,3015,1885,2650,1821,5.8,6.4,7.5,7.7,4,6.3,5.8,7,5.7,5.2,5.2,7.2,7.2,6.8,3.9,2.4,3.4,2.4
Clallam,Washington,3116,3973,3716,3465,2789,4170,4299,3848,4348,3348,4020,4122,8518,6912,6945,4478,3086,2178,4,5.1,4.8,4.5,3.6,5.4,5.6,5,5.6,4.3,5.2,5.3,11,8.9,9,5.8,4,2.8
Clark,Washington,29200,30764,34317,31876,28405,32618,33373,33644,30478,32601,30776,33728,28087,26403,22982,12984,8699,7306,6,6.3,7,6.5,5.8,6.7,6.8,6.9,6.2,6.7,6.3,6.9,5.8,5.4,4.7,2.7,1.8,1.5
Cowlitz,Washington,6344,7416,6954,6080,6325,6868,7747,6714,6574,6857,6251,8493,6958,6391,6179,3561,2443,2438,5.7,6.7,6.3,5.5,5.7,6.2,7,6.1,5.9,6.2,5.7,7.7,6.3,5.8,5.6,3.2,2.2,2.2
Franklin,Washington,8644,9062,8468,7138,6940,6690,7021,6587,6730,5470,5205,4348,4099,3545,2461,1131,601,1082,9.1,9.5,8.9,7.5,7.3,7,7.4,6.9,7.1,5.7,5.5,4.6,4.3,3.7,2.6,1.2,0.6,1.1
Grant,Washington,7447,9230,7384,7924,5583,7183,6276,6710,5078,5919,4573,5209,5789,3581,4159,2580,1269,1839,7.6,9.4,7.6,8.1,5.7,7.3,6.4,6.9,5.2,6.1,4.7,5.3,5.9,3.7,4.3,2.6,1.3,1.9
Grays Harbor,Washington,3852,3260,5005,4828,3184,4062,4529,3376,4792,4867,4862,5830,5754,4959,5643,2950,1917,1391,5.1,4.3,6.7,6.4,4.2,5.4,6,4.5,6.4,6.5,6.5,7.8,7.7,6.6,7.5,3.9,2.6,1.9
Island,Washington,5377,4049,3639,4418,5841,6266,5148,5738,3681,3597,4679,5584,6544,6423,6027,4590,1829,1711,6.3,4.8,4.3,5.2,6.9,7.4,6,6.7,4.3,4.2,5.5,6.6,7.7,7.5,7.1,5.4,2.1,2
King,Washington,127399,120436,132274,119535,132698,208015,208640,187041,155691,151271,141512,135624,128588,101601,81261,50557,31290,39349,5.7,5.3,5.9,5.3,5.9,9.2,9.3,8.3,6.9,6.7,6.3,6,5.7,4.5,3.6,2.2,1.4,1.7
Kitsap,Washington,15725,15153,15061,15173,19544,20897,18969,18682,15392,15268,15052,18971,17679,16957,14214,10944,3887,3905,5.8,5.6,5.5,5.6,7.2,7.7,7,6.9,5.7,5.6,5.5,7,6.5,6.2,5.2,4,1.4,1.4
Lewis,Washington,4562,4730,4834,4849,4149,5067,4976,5479,3737,4676,4543,6459,5339,6140,4261,3064,2162,1680,5.7,5.9,6,6,5.1,6.3,6.2,6.8,4.6,5.8,5.6,8,6.6,7.6,5.3,3.8,2.7,2.1
Mason,Washington,2966,4566,3486,3515,3078,3863,4162,4491,3275,3451,3642,3746,6654,6386,3897,2993,1135,1462,4.4,6.8,5.2,5.3,4.6,5.8,6.2,6.7,4.9,5.2,5.5,5.6,10,9.6,5.8,4.5,1.7,2.2
Pierce,Washington,59314,60454,57669,53827,61153,72401,68808,62392,59209,55650,54233,55368,56251,42070,36732,21223,14482,13744,6.6,6.7,6.4,5.9,6.8,8,7.6,6.9,6.5,6.1,6,6.1,6.2,4.6,4.1,2.3,1.6,1.5
Skagit,Washington,7474,7417,8436,7465,6441,8591,7967,8546,6991,6535,7764,8061,9600,7938,8686,5056,3917,2320,5.8,5.7,6.5,5.8,5,6.6,6.2,6.6,5.4,5.1,6,6.2,7.4,6.1,6.7,3.9,3,1.8
Snohomish,Washington,52062,50279,52115,46070,46073,58819,64503,61635,57599,54256,53834,59845,50426,41712,29460,19496,11479,12420,6.3,6.1,6.3,5.6,5.6,7.2,7.8,7.5,7,6.6,6.5,7.3,6.1,5.1,3.6,2.4,1.4,1.5
Spokane,Washington,31377,29113,35287,33759,34394,39910,38197,34344,31253,31286,29778,31670,35910,25722,26664,14776,10191,9167,6,5.6,6.7,6.5,6.6,7.6,7.3,6.6,6,6,5.7,6.1,6.9,4.9,5.1,2.8,1.9,1.8
Thurston,Washington,17120,18496,15338,18014,16453,20420,19409,22054,17544,18961,17472,17027,20977,17672,13860,10236,5358,4125,5.9,6.4,5.3,6.2,5.7,7,6.7,7.6,6,6.5,6,5.9,7.2,6.1,4.8,3.5,1.8,1.4
Whatcom,Washington,11728,13700,11631,15438,23820,16170,13155,11891,16474,13307,12845,10852,16340,14819,11049,7142,4314,4572,5.1,6,5.1,6.7,10.4,7.1,5.7,5.2,7.2,5.8,5.6,4.7,7.1,6.5,4.8,3.1,1.9,2
Yakima,Washington,19432,20120,21966,19063,16491,18484,16651,12539,16914,13692,13367,13458,13301,13671,7159,5581,3902,5082,7.7,8,8.8,7.6,6.6,7.4,6.6,5,6.7,5.5,5.3,5.4,5.3,5.4,2.9,2.2,1.6,2
Berkeley,West Virginia,6893,8441,7471,6973,6650,8153,8279,9594,6664,8235,8579,7187,8256,6193,5501,2448,1987,1667,5.8,7.1,6.3,5.9,5.6,6.8,6.9,8.1,5.6,6.9,7.2,6,6.9,5.2,4.6,2.1,1.7,1.4
Cabell,West Virginia,4991,5243,4761,6601,8195,6353,5067,5308,5528,5244,5396,5809,5972,5406,4520,3402,2651,1498,5.4,5.7,5.2,7.2,8.9,6.9,5.5,5.8,6,5.7,5.9,6.3,6.5,5.9,4.9,3.7,2.9,1.6
Harrison,West Virginia,3540,3663,4741,3842,3319,3950,3789,5521,3281,4109,4407,5219,4723,4791,2706,2764,981,1910,5.3,5.4,7,5.7,4.9,5.9,5.6,8.2,4.9,6.1,6.6,7.8,7,7.1,4,4.1,1.5,2.8
Kanawha,West Virginia,9458,8943,10912,9267,8724,12493,10705,10563,11109,10802,10879,13145,13367,11102,10964,6447,4023,5221,5.3,5,6.1,5.2,4.9,7,6,5.9,6.2,6.1,6.1,7.4,7.5,6.2,6.2,3.6,2.3,2.9
Monongalia,West Virginia,5563,4699,4272,9248,15035,9360,7727,7247,6530,5252,5221,5439,5766,5518,3373,2545,1171,1646,5.3,4.4,4,8.8,14.2,8.9,7.3,6.9,6.2,5,4.9,5.1,5.5,5.2,3.2,2.4,1.1,1.6
Raleigh,West Virginia,3396,4736,4511,4019,3999,4664,4037,4953,4411,5120,4083,4059,5772,4568,5006,1767,1978,2282,4.6,6.5,6.1,5.5,5.5,6.4,5.5,6.8,6,7,5.6,5.5,7.9,6.2,6.8,2.4,2.7,3.1
Wood,West Virginia,4758,3762,5762,4873,4660,4818,4250,5058,5069,5511,5498,5490,6748,5584,4229,3187,2411,1850,5.7,4.5,6.9,5.8,5.6,5.8,5.1,6.1,6.1,6.6,6.6,6.6,8.1,6.7,5.1,3.8,2.9,2.2
Brown,Wisconsin,16487,17513,17671,18286,16776,18222,16502,17974,15417,16096,17543,18826,15826,13585,11129,7515,4194,4980,6.2,6.6,6.7,6.9,6.3,6.9,6.2,6.8,5.8,6.1,6.6,7.1,6,5.1,4.2,2.8,1.6,1.9
Dane,Wisconsin,30094,30385,31555,35630,55115,46302,39016,40295,34217,31935,31109,31213,32444,28217,19039,13114,7882,9133,5.5,5.6,5.8,6.5,10.1,8.5,7.1,7.4,6.3,5.8,5.7,5.7,5.9,5.2,3.5,2.4,1.4,1.7
Dodge,Wisconsin,3830,4617,6300,5273,4353,5341,5141,6086,4668,5662,6606,7106,6532,5145,4088,2503,2248,2340,4.4,5.3,7.2,6,5,6.1,5.9,6.9,5.3,6.4,7.5,8.1,7.4,5.9,4.7,2.8,2.6,2.7
Eau Claire,Wisconsin,5765,5458,6175,10052,10300,7347,7038,6019,5988,5288,5510,7201,5864,5844,4050,2979,1880,1888,5.5,5.2,5.9,9.6,9.8,7,6.7,5.8,5.7,5.1,5.3,6.9,5.6,5.6,3.9,2.8,1.8,1.8
Fond du Lac,Wisconsin,6012,6718,4820,6690,6451,6562,5334,6744,5470,7015,6762,7614,7633,6576,4673,3568,2286,2475,5.8,6.5,4.7,6.5,6.2,6.3,5.2,6.5,5.3,6.8,6.5,7.4,7.4,6.4,4.5,3.5,2.2,2.4
Jefferson,Wisconsin,4674,5591,4278,5906,4842,4680,5122,5433,5353,5079,6418,6417,5988,5518,3597,2593,1982,1298,5.5,6.6,5,7,5.7,5.5,6,6.4,6.3,6,7.6,7.6,7.1,6.5,4.2,3.1,2.3,1.5
Kenosha,Wisconsin,9475,10524,11638,12323,11118,11662,11150,12252,9713,10197,11241,11940,11692,8796,6230,3599,2249,3762,5.6,6.2,6.9,7.3,6.6,6.9,6.6,7.2,5.7,6,6.6,7,6.9,5.2,3.7,2.1,1.3,2.2
La Crosse,Wisconsin,5828,6813,6761,8770,13058,8388,7067,7772,6165,5807,6337,7145,7801,6477,5244,2778,2122,3683,4.9,5.8,5.7,7.4,11.1,7.1,6,6.6,5.2,4.9,5.4,6.1,6.6,5.5,4.4,2.4,1.8,3.1
Manitowoc,Wisconsin,3472,4171,5201,4742,4231,4501,4154,4169,4446,4524,5495,7184,5721,5675,4197,3640,1622,1836,4.4,5.3,6.6,6,5.4,5.7,5.3,5.3,5.6,5.7,7,9.1,7.2,7.2,5.3,4.6,2.1,2.3
Marathon,Wisconsin,8078,8395,9366,7892,7199,8446,7525,8792,8169,8458,9129,8700,10738,8399,5637,3507,3566,3696,6,6.2,6.9,5.8,5.3,6.2,5.5,6.5,6,6.2,6.7,6.4,7.9,6.2,4.2,2.6,2.6,2.7
Milwaukee,Wisconsin,63947,62694,63213,62027,63023,80770,74908,67042,55086,53465,53720,60431,53152,42149,35821,20157,15647,18474,6.8,6.6,6.7,6.6,6.7,8.5,7.9,7.1,5.8,5.7,5.7,6.4,5.6,4.5,3.8,2.1,1.7,2
Outagamie,Wisconsin,11473,12565,12579,11601,10915,11891,14764,13581,11388,10885,12213,13557,11971,8898,7883,5029,3445,3247,6.1,6.7,6.7,6.2,5.8,6.3,7.9,7.2,6.1,5.8,6.5,7.2,6.4,4.7,4.2,2.7,1.8,1.7
Ozaukee,Wisconsin,4273,4797,6280,5944,5159,3829,5223,4605,5344,5850,6534,7246,6278,5773,4354,3286,2366,2080,4.8,5.4,7,6.7,5.8,4.3,5.9,5.2,6,6.6,7.3,8.1,7,6.5,4.9,3.7,2.7,2.3
Portage,Wisconsin,3307,4343,3399,5854,7898,4264,3828,3540,4502,3737,4381,4345,5196,3855,3329,2382,1238,1374,4.7,6.1,4.8,8.3,11.2,6,5.4,5,6.4,5.3,6.2,6.1,7.3,5.4,4.7,3.4,1.7,1.9
Racine,Wisconsin,11537,12100,13369,12318,12266,11450,10570,11766,12884,12543,13268,14239,14422,10906,9239,5633,3996,3805,5.9,6.2,6.8,6.3,6.2,5.8,5.4,6,6.6,6.4,6.8,7.3,7.3,5.6,4.7,2.9,2,1.9
Rock,Wisconsin,9815,8897,11357,11813,10537,9565,9989,9173,10281,10632,10371,10464,12990,8833,7204,4249,3710,3474,6,5.4,7,7.2,6.5,5.9,6.1,5.6,6.3,6.5,6.3,6.4,8,5.4,4.4,2.6,2.3,2.1
St. Croix,Wisconsin,5412,5414,7559,5928,4604,4809,5250,7642,5591,6168,6419,6179,6415,4141,4096,2650,956,1454,6,6,8.3,6.5,5.1,5.3,5.8,8.4,6.2,6.8,7.1,6.8,7.1,4.6,4.5,2.9,1.1,1.6
Sheboygan,Wisconsin,6346,7813,7049,6215,7173,7162,7276,6595,6457,7270,7653,8829,8470,6991,5197,3318,3008,2518,5.5,6.8,6.1,5.4,6.2,6.2,6.3,5.7,5.6,6.3,6.6,7.7,7.3,6.1,4.5,2.9,2.6,2.2
Walworth,Wisconsin,4659,5458,6591,7911,9673,5219,5176,5111,6484,6173,6657,7269,8248,6511,5074,3671,2037,1946,4.5,5.3,6.3,7.6,9.3,5,5,4.9,6.2,5.9,6.4,7,7.9,6.3,4.9,3.5,2,1.9
Washington,Wisconsin,7471,7933,7865,8429,7313,6583,7416,8031,8593,8494,10500,12108,9566,8598,6551,3872,3456,3255,5.5,5.8,5.8,6.2,5.4,4.8,5.5,5.9,6.3,6.2,7.7,8.9,7,6.3,4.8,2.8,2.5,2.4
Waukesha,Wisconsin,20420,21975,26962,25596,22153,20542,21973,25857,24261,25550,28589,32797,29678,24591,19614,13548,9039,11053,5.1,5.4,6.7,6.3,5.5,5.1,5.4,6.4,6,6.3,7.1,8.1,7.3,6.1,4.9,3.4,2.2,2.7
Winnebago,Wisconsin,9103,10802,8939,11345,13815,11644,11957,12076,8938,10588,10861,11561,11284,9959,6505,5200,3663,3667,5.3,6.3,5.2,6.6,8,6.8,7,7,5.2,6.2,6.3,6.7,6.6,5.8,3.8,3,2.1,2.1
Wood,Wisconsin,4299,4053,4649,3960,3382,4179,4175,3827,4269,3974,5179,5571,5993,5283,3338,2662,1880,2326,5.9,5.6,6.4,5.4,4.6,5.7,5.7,5.2,5.8,5.4,7.1,7.6,8.2,7.2,4.6,3.6,2.6,3.2
Laramie,Wyoming,5576,7416,6188,6079,6466,6829,7266,6381,5786,6339,5270,6463,6620,4378,5494,1938,2470,2541,5.6,7.5,6.2,6.1,6.5,6.9,7.3,6.4,5.8,6.4,5.3,6.5,6.7,4.4,5.5,1.9,2.5,2.6
Natrona,Wyoming,4300,5399,6272,5131,4476,5647,5477,4304,6705,4199,4450,6232,4593,4538,3011,1921,1989,1214,5.4,6.8,7.9,6.4,5.6,7.1,6.9,5.4,8.4,5.3,5.6,7.8,5.8,5.7,3.8,2.4,2.5,1.5
Arecibo Municipio,Puerto Rico,3024,3444,4911,4680,5981,5660,4549,4873,4704,5363,5694,6027,4699,4864,4782,3734,2353,2624,3.7,4.2,6,5.7,7.3,6.9,5.5,5.9,5.7,6.5,6.9,7.4,5.7,5.9,5.8,4.6,2.9,3.2
Bayamón Municipio,Puerto Rico,6250,8886,7653,10105,11652,12814,10562,9922,10086,9909,10553,12043,10671,9476,9166,7428,6896,5197,3.7,5.2,4.5,6,6.9,7.6,6.2,5.9,6,5.9,6.2,7.1,6.3,5.6,5.4,4.4,4.1,3.1
Caguas Municipio,Puerto Rico,4307,5479,7650,8063,8208,8666,7379,7422,8296,8317,8413,8533,7776,7823,5822,5502,4589,2361,3.5,4.4,6.1,6.5,6.6,7,5.9,6,6.7,6.7,6.8,6.8,6.2,6.3,4.7,4.4,3.7,1.9
Carolina Municipio,Puerto Rico,5143,6612,8084,9150,9923,10512,8088,7439,10425,9472,9867,8460,9793,8793,8090,6519,4747,5867,3.5,4.5,5.5,6.2,6.8,7.2,5.5,5.1,7.1,6.4,6.7,5.8,6.7,6,5.5,4.4,3.2,4
Guaynabo Municipio,Puerto Rico,2774,3466,3940,4449,5376,5938,4954,5188,5021,5237,5708,5824,6513,6116,3890,3604,2250,3480,3.3,4.1,4.7,5.3,6.4,7.1,5.9,6.2,6,6.3,6.8,7,7.8,7.3,4.6,4.3,2.7,4.2
Mayagüez Municipio,Puerto Rico,2460,3649,3181,5662,7920,4229,3775,3446,3299,3516,3838,4624,4164,4018,4732,3628,2922,2467,3.4,5.1,4.4,7.9,11.1,5.9,5.3,4.8,4.6,4.9,5.4,6.5,5.8,5.6,6.6,5.1,4.1,3.4
Ponce Municipio,Puerto Rico,5355,6438,8104,8348,9285,9267,7658,7793,6856,7547,7810,8556,8790,9059,7224,6748,3644,3399,4.1,4.9,6.1,6.3,7,7,5.8,5.9,5.2,5.7,5.9,6.5,6.7,6.9,5.5,5.1,2.8,2.6
