id,county,state,age,total,percent
0500000US01077,Lauderdale County, Alabama,75 to 79 ,3300,3.6
0500000US01077,Lauderdale County, Alabama,80 to 84 ,2977,3.2
0500000US01077,Lauderdale County, Alabama,85  and over,1684,1.8
0500000US01081,Lee County, Alabama,under 5 ,8512,5.2
0500000US01081,Lee County, Alabama,5 to 9 ,12662,7.7
0500000US01081,Lee County, Alabama,10 to 14 ,7503,4.6
0500000US01081,Lee County, Alabama,15 to 19 ,14040,8.5
0500000US01081,Lee County, Alabama,20 to 24 ,20499,12.5
0500000US01081,Lee County, Alabama,25 to 29 ,11776,7.2
0500000US01081,Lee County, Alabama,30 to 34 ,10743,6.5
0500000US01081,Lee County, Alabama,35 to 39 ,12375,7.5
0500000US01081,Lee County, Alabama,40 to 44 ,10026,6.1
0500000US01081,Lee County, Alabama,45 to 49 ,8670,5.3
0500000US01081,Lee County, Alabama,50 to 54 ,9146,5.6
0500000US01081,Lee County, Alabama,55 to 59 ,9312,5.7
0500000US01081,Lee County, Alabama,60 to 64 ,8533,5.2
0500000US01081,Lee County, Alabama,65 to 69 ,6088,3.7
0500000US01081,Lee County, Alabama,70 to 74 ,6712,4.1
0500000US01081,Lee County, Alabama,75 to 79 ,4389,2.7
0500000US01081,Lee County, Alabama,80 to 84 ,1862,1.1
0500000US01081,Lee County, Alabama,85  and over,1694,1
0500000US01083,Limestone County, Alabama,under 5 ,5936,6
0500000US01083,Limestone County, Alabama,5 to 9 ,5541,5.6
0500000US01083,Limestone County, Alabama,10 to 14 ,6356,6.4
0500000US01083,Limestone County, Alabama,15 to 19 ,7525,7.6
0500000US01083,Limestone County, Alabama,20 to 24 ,5116,5.2
0500000US01083,Limestone County, Alabama,25 to 29 ,6182,6.2
0500000US01083,Limestone County, Alabama,30 to 34 ,6104,6.2
0500000US01083,Limestone County, Alabama,35 to 39 ,5899,6
0500000US01083,Limestone County, Alabama,40 to 44 ,7201,7.3
0500000US01083,Limestone County, Alabama,45 to 49 ,7051,7.1
0500000US01083,Limestone County, Alabama,50 to 54 ,7109,7.2
0500000US01083,Limestone County, Alabama,55 to 59 ,6084,6.2
0500000US01083,Limestone County, Alabama,60 to 64 ,6531,6.6
0500000US01083,Limestone County, Alabama,65 to 69 ,4963,5
0500000US01083,Limestone County, Alabama,70 to 74 ,4781,4.8
0500000US01083,Limestone County, Alabama,75 to 79 ,2602,2.6
0500000US01083,Limestone County, Alabama,80 to 84 ,2640,2.7
0500000US01083,Limestone County, Alabama,85  and over,1294,1.3
0500000US01089,Madison County, Alabama,under 5 ,21860,5.9
0500000US01089,Madison County, Alabama,5 to 9 ,20324,5.5
0500000US01089,Madison County, Alabama,10 to 14 ,25665,6.9
0500000US01089,Madison County, Alabama,15 to 19 ,23238,6.2
0500000US01089,Madison County, Alabama,20 to 24 ,24686,6.6
0500000US01089,Madison County, Alabama,25 to 29 ,26486,7.1
0500000US01089,Madison County, Alabama,30 to 34 ,26194,7
0500000US01089,Madison County, Alabama,35 to 39 ,27730,7.4
0500000US01089,Madison County, Alabama,40 to 44 ,18326,4.9
0500000US01089,Madison County, Alabama,45 to 49 ,23122,6.2
0500000US01089,Madison County, Alabama,50 to 54 ,25082,6.7
0500000US01089,Madison County, Alabama,55 to 59 ,26324,7.1
0500000US01089,Madison County, Alabama,60 to 64 ,25982,7
0500000US01089,Madison County, Alabama,65 to 69 ,17442,4.7
0500000US01089,Madison County, Alabama,70 to 74 ,16252,4.4
0500000US01089,Madison County, Alabama,75 to 79 ,9852,2.6
0500000US01089,Madison County, Alabama,80 to 84 ,7475,2
0500000US01089,Madison County, Alabama,85  and over,6869,1.8
0500000US01095,Marshall County, Alabama,under 5 ,6841,7.1
0500000US01095,Marshall County, Alabama,5 to 9 ,6324,6.5
0500000US01095,Marshall County, Alabama,10 to 14 ,6463,6.7
0500000US01095,Marshall County, Alabama,15 to 19 ,6706,6.9
0500000US01095,Marshall County, Alabama,20 to 24 ,5684,5.9
0500000US01095,Marshall County, Alabama,25 to 29 ,5977,6.2
0500000US01095,Marshall County, Alabama,30 to 34 ,6122,6.3
0500000US01095,Marshall County, Alabama,35 to 39 ,5151,5.3
0500000US01095,Marshall County, Alabama,40 to 44 ,6256,6.5
0500000US01095,Marshall County, Alabama,45 to 49 ,5863,6.1
0500000US01095,Marshall County, Alabama,50 to 54 ,6145,6.3
0500000US01095,Marshall County, Alabama,55 to 59 ,6023,6.2
0500000US01095,Marshall County, Alabama,60 to 64 ,6482,6.7
0500000US01095,Marshall County, Alabama,65 to 69 ,5241,5.4
0500000US01095,Marshall County, Alabama,70 to 74 ,4552,4.7
0500000US01095,Marshall County, Alabama,75 to 79 ,3148,3.3
0500000US01095,Marshall County, Alabama,80 to 84 ,2140,2.2
0500000US01095,Marshall County, Alabama,85  and over,1656,1.7
0500000US01097,Mobile County, Alabama,under 5 ,27444,6.6
0500000US01097,Mobile County, Alabama,5 to 9 ,25029,6.1
0500000US01097,Mobile County, Alabama,10 to 14 ,27817,6.7
0500000US01097,Mobile County, Alabama,15 to 19 ,26380,6.4
0500000US01097,Mobile County, Alabama,20 to 24 ,26087,6.3
0500000US01097,Mobile County, Alabama,25 to 29 ,30082,7.3
0500000US01097,Mobile County, Alabama,30 to 34 ,28433,6.9
0500000US01097,Mobile County, Alabama,35 to 39 ,21968,5.3
