age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
36,Male,White,Kentucky State Police,Pending investigation/No Known Charges,2018,5,20,Baxter,KY,Harlan,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Male,Hispanic,Pueblo County Sheriff's Office,Pending investigation/No Known Charges,2018,5,19,Pueblo,CO,Pueblo,Gunshot,No known charges,No,38.2705,-104.6112,Colorado,0500000US08101,66111,7.8,6.3,9.9,10.5,14.9,17.5,14.1,12.5,3.8,2.6,51276,66317,15041,Very Low
77,Male,White,Douglas County Sheriff's Office,Pending investigation/No Known Charges,2018,5,19,Carson City,NV,Douglas,Gunshot,No known charges,Drug or alcohol use,39.1512,-119.7474,Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Male,Hispanic,Laredo Police Department,Pending investigation/No Known Charges,2018,5,18,Laredo,TX,Webb,Gunshot,No known charges,No,27.5629,-99.4875,Texas,0500000US48479,76326,6.8,5.9,12.4,9.2,11.2,17.4,14.6,14.7,3.1,4.6,56084,71396,15312,Low
NA,Male,Unknown race,Livonia Police Department,Pending investigation/No Known Charges,2018,5,18,Livonia,MI,Wayne,Gunshot,No known charges,Yes,42.3972,-83.3733,Michigan,0500000US26163,689270,10,5.1,10.3,10.5,13.3,18.2,10.9,12.2,4.9,4.6,50753,70465,19712,Very Low
24,Male,White,Gresham Police Department,Justified by District Attorney,2018,5,18,Gresham,OR,Multnomah,Gunshot,No known charges,No,45.5023,-122.4413,Oregon,0500000US41051,337903,5.9,3.5,6.5,6.5,11.4,17.3,12.4,18,8.5,10,72900,99033,26133,High
34,Male,White,U.S. Marshals Service,Pending investigation/No Known Charges,2018,5,17,Norman,OK,Cleveland,Gunshot,No known charges,No,35.2335,-97.3471,Oklahoma,0500000US40027,108673,6.5,3.1,7.8,8.1,11.9,19.3,13.5,18.8,6.2,4.7,64290,83314,19024,Middle
59,Male,White,"Belmont County Sheriff's Office, Martins Ferry Police Department, Bridgeport Police Department",Pending investigation/No Known Charges,2018,5,16,Martins Ferry,OH,Belmont,Gunshot,No known charges,Yes,40.1014,-80.7253,Ohio,0500000US39013,25651,6.3,5.4,8.9,12,17.6,20.8,9,12.1,3.7,4.2,49780,67033,17253,Very Low
34,Male,White,Seminole County Sheriff's Office,Pending investigation/No Known Charges,2018,5,15,Lake Mary,FL,Seminole,Gunshot,No known charges,No,28.7592,-81.3359,Florida,0500000US12117,181142,4.2,2.4,7.1,7.8,13.1,18.7,14.3,15.1,8,9.3,70190,95285,25095,High
24,Male,Black,Prince George's County Police Department,Pending investigation/No Known Charges,2018,5,14,Clinton,MD,Prince George's,Gunshot,No known charges,NA,38.7499,-76.9063,Maryland,0500000US24033,316361,4.2,2,4.6,5.8,9.5,17,15.3,21,10.7,9.9,86290,102569,16279,Very High
24,Male,Black,Richmond Police Department,Pending investigation/No Known Charges,2018,5,14,Richmond,VA,Richmond,"Gunshot, Taser",No known charges,No,37.5295,-77.4756,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Male,Hispanic,San Antonio Police Department,Pending investigation/No Known Charges,2018,5,14,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
53,Male,White,Quincy Police Department,Pending investigation/No Known Charges,2018,5,14,Quincy,IL,Adams,Gunshot,No known charges,No,39.9335,-91.3799,Illinois,0500000US17001,26993,6.3,2.4,7.6,8.7,18.1,19.8,16.6,13.5,4.3,2.5,55727,70658,14931,Low
54,Male,White,Maine State Police,Pending investigation/No Known Charges,2018,5,14,Wales,ME,Androscoggin,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Male,White,Royal Oak Police Department,Pending investigation/No Known Charges,2018,5,14,Royal Oak,MI,Oakland,Gunshot,No known charges,Unknown,42.5084,-83.1539,Michigan,0500000US26125,508464,3.8,3.2,6.3,7.1,9.7,15.9,13.8,17.9,9.7,12.7,81190,111724,30534,Very High
29,Male,Black,Portsmouth Police Department,Pending investigation/No Known Charges,2018,5,13,Portsmouth,VA,Portsmouth City,Gunshot,No known charges,No,36.8468,-76.354,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Male,Unknown race,Dearborn Heights Police Department,Pending investigation/No Known Charges,2018,5,13,Dearborn Heights,MI,Wayne,Gunshot,No known charges,No,42.3164,-83.2769,Michigan,0500000US26163,689270,10,5.1,10.3,10.5,13.3,18.2,10.9,12.2,4.9,4.6,50753,70465,19712,Very Low
54,Male,Unknown race,Franklin County Sheriff's Office,Pending investigation/No Known Charges,2018,5,13,Carnesville,GA,Franklin,Gunshot,No known charges,No,34.3729,-83.2328,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Clayton County Police Department,Pending investigation/No Known Charges,2018,5,13,Forest Park,GA,Clayton,Gunshot,No known charges,No,33.6209,-84.359,Georgia,0500000US13063,97030,6.6,4.3,11,9,17.2,25.2,10.5,11.5,3.6,1.2,51093,60225,9132,Very Low
36,Male,White,Tangipahoa Parish Sheriff's Office,Pending investigation/No Known Charges,2018,5,13,Amite,LA,Tangipahoa,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Male,White,Franklin County Sheriff's Office,Pending investigation/No Known Charges,2018,5,12,Columbus,OH,Franklin,Gunshot,No known charges,Unknown,39.9862,-82.985,Ohio,0500000US39049,522383,5.4,3.3,9,8.2,12.1,19.5,12.7,16,7.1,6.7,64713,87764,23051,Middle
24,Male,Native American,Blackfoot Police Department,Pending investigation/No Known Charges,2018,5,11,Blackfoot,ID,Bingham,Gunshot,No known charges,No,43.194,-112.3455,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,"Clark County Sheriff's Office, Loyal Police Department",Justified by District Attorney,2018,5,11,Granton,WI,Clark,Gunshot,No known charges,No,44.5887,-90.4615,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Male,White,Bossier Parish Sheriff's Office,Pending investigation/No Known Charges,2018,5,11,Haughton,LA,Bossier,Gunshot,No known charges,No,32.5271,-93.5042,Louisiana,0500000US22015,49735,6.1,6.2,12.8,9.9,15,16.4,13.3,11.5,4.3,4.5,49962,69729,19767,Very Low
51,Male,White,Evansville Police Department,Pending investigation/No Known Charges,2018,5,11,Evansville,IN,Vanderburgh,Gunshot,No known charges,Unknown,37.9881,-87.5341,Indiana,0500000US18163,75522,6,4.5,11.5,11.2,14.8,19.9,13,11.3,3.7,4,51350,72542,21192,Very Low
52,Male,White,Oklahoma Highway Patrol,Pending investigation/No Known Charges,2018,5,11,Talihina,OK,Latimer,Gunshot,No known charges,No,34.7522,-95.0409,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Male,White,Lower Burrell Police Department,Pending investigation/No Known Charges,2018,5,10,New Kensington,PA,Westmoreland,Gunshot,No known charges,No,40.5711,-79.7521,Pennsylvania,0500000US42129,155147,7.2,3.9,9.1,9.3,13.7,17.9,14,14.1,5.9,5,59073,77715,18642,Low
46,Male,White,Morristown Police Department,Pending investigation/No Known Charges,2018,5,10,Morristown,TN,Hamblen,Gunshot,No known charges,No,36.2046,-83.3006,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,Black,Jackson Police Department,Pending investigation/No Known Charges,2018,5,9,Jackson,MS,Hinds,Gunshot,No known charges,No,32.3163,-90.2124,Mississippi,0500000US28049,88471,9.1,5.7,13.7,9.9,15.5,20.5,9.8,9.6,3.5,2.8,44964,61797,16833,Very Low
45,Male,Hispanic,Greeley Police Department,Pending investigation/No Known Charges,2018,5,8,Greeley,CO,Weld,Gunshot,No known charges,No,40.4151,-104.7706,Colorado,0500000US08123,111298,3.5,2.9,7,6.4,9.8,17.5,14.3,22.4,9.3,6.8,78615,95567,16952,Very High
23,Male,Unknown race,U.S. Immigration and Customs Enforcement,Pending investigation/No Known Charges,2018,5,8,Mesa,AZ,Maricopa,Gunshot,No known charges,No,33.4017,-111.718,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
37,Male,Unknown race,Tucson Police Department,Pending investigation/No Known Charges,2018,5,8,Tucson,AZ,Pima,Gunshot,No known charges,Unknown,32.1545,-110.8782,Arizona,0500000US04019,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169,76892,20723,Low
65,Male,White,Manheim Township Police Department,Pending investigation/No Known Charges,2018,5,8,Lancaster,PA,Lancaster,Gunshot,No known charges,No,40.0421,-76.3012,Pennsylvania,0500000US42071,204701,4.7,3.3,7.4,7.1,13,19.9,16,16.5,5.7,6.5,67376,88819,21443,High
37,Male,White,Washington County Sheriff's Office,Pending investigation/No Known Charges,2018,5,8,Glade Spring,VA,Washington,Gunshot,No known charges,No,36.7899,-81.7726,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Female,Hispanic,Yuma Police Department,Pending investigation/No Known Charges,2018,5,7,Yuma,AZ,Yuma,Gunshot,No known charges,No,32.5992,-114.5488,Arizona,0500000US04027,74042,10.5,5.6,11.2,10.9,14.5,18.8,14.9,9.5,2.3,1.8,46419,59182,12763,Very Low
32,Male,Hispanic,Orlando Police Department,"Charged with manslaughter, Charges Dropped",2018,5,7,Orlando,FL,Orange,Gunshot,"Charged, Charges Dropped",No,28.4772,-81.3369,Florida,0500000US12095,457949,4.9,3.5,7.6,9,13.9,19.7,13.6,14.7,5.8,7.2,63461,88304,24843,Middle
63,Male,Unknown race,"Edgefield County Sheriff's Office, Edgefield Police Department",Pending investigation/No Known Charges,2018,5,7,Johnston,SC,Edgefield,Gunshot,No known charges,NA,33.8327,-81.8051,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Female,White,"Georgia State Patrol, Floyd County Police Department",Pending investigation/No Known Charges,2018,5,7,Rome,GA,Floyd,Gunshot,No known charges,No,34.2661,-85.1862,Georgia,0500000US13115,35443,6.1,4.1,13.9,11.4,14.1,18.1,11.9,12.9,4.4,3.2,50880,68905,18025,Very Low
26,Male,White,Tulsa Police Department,Pending investigation/No Known Charges,2018,5,7,Tulsa,OK,Tulsa,Gunshot,No known charges,No,36.1284,-95.9042,Oklahoma,0500000US40143,255352,6.6,4,9.5,10.1,13.3,18.3,12.1,13.4,5.7,7,57483,84293,26810,Low
48,Male,White,Sebastian County Sheriff's Office,Pending investigation/No Known Charges,2018,5,7,Hackett,AR,Sebastian,Gunshot,No known charges,No,35.1878,-94.4106,Arkansas,0500000US05131,51384,6.2,5.3,12.1,14,13.7,18.9,11.5,11.7,3.2,3.4,48839,65576,16737,Very Low
50,Male,White,Appleton Police Department,Pending investigation/No Known Charges,2018,5,7,Appleton,WI,Outagamie,Gunshot,No known charges,No,44.2779,-88.3891,Wisconsin,0500000US55087,74974,2.5,3.2,8.8,8.7,12.9,21.7,14.7,17.3,5.7,4.5,66234,80986,14752,High
32,Male,Black,College Park Police Department,Pending investigation/No Known Charges,2018,5,6,East Point,GA,Fulton,Gunshot,No known charges,No,33.6696,-84.4701,Georgia,0500000US13121,439578,6.3,3.4,6.7,6.3,10.2,14.4,11.3,16.1,9.1,16.2,80013,125680,45667,Very High
25,Male,Hispanic,Los Angeles Police Department,Pending investigation/No Known Charges,2018,5,6,Los Angeles,CA,Los Angeles,Taser,No known charges,No,34.1139,-118.4068,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
38,Male,White,Casper Police Department,Pending investigation/No Known Charges,2018,5,6,Casper,WY,Natrona,Gunshot,No known charges,No,42.842,-106.3207,Wyoming,0500000US56025,33044,4.6,2.8,9.2,10.2,10.2,20.5,16.2,15.4,5.8,4.9,65034,79046,14012,High
39,Male,White,"Prague Police Department, Oklahoma Highway Patrol, Seminole County Sheriff's Office",Pending investigation/No Known Charges,2018,5,6,Seminole,OK,Seminole,Gunshot,No known charges,No,35.2346,-96.65,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Male,White,Guernsey County Sheriff's Office,Pending investigation/No Known Charges,2018,5,6,Fairview,OH,Guernsey,Gunshot,No known charges,Yes,40.0573,-81.235,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Male,Unknown race,Scottsdale Police Department,Pending investigation/No Known Charges,2018,5,5,Tempe,AZ,Maricopa,Gunshot,No known charges,No,33.3881,-111.9318,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
59,Male,Unknown race,Bexar County Sheriff's Office,Pending investigation/No Known Charges,2018,5,5,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
21,Female,White,Aurora Police Department,Justified by County Prosecutor,2018,5,5,Aurora,MO,Lawrence,Gunshot,No known charges,No,36.9674,-93.7183,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Male,White,Kettering Police Department,Pending investigation/No Known Charges,2018,5,5,Dayton,OH,Montgomery,Gunshot,No known charges,No,39.7797,-84.1998,Ohio,0500000US39113,224831,7.2,4,10.9,10.8,13.1,18.6,13.8,13.7,4.1,3.8,54537,72781,18244,Very Low
54,Male,Unknown race,Maine State Police,Pending investigation/No Known Charges,2018,5,4,Oakfield,ME,Aroostook,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,White,Terre Haute Police Department,Pending investigation/No Known Charges,2018,5,4,Terre Haute,IN,Vigo,Gunshot,No known charges,No,39.4654,-87.3763,Indiana,0500000US18167,42193,9.7,6.4,13.8,8.6,13.1,18.4,11.9,10.8,3.4,3.8,48013,65988,17975,Very Low
26,Male,Hispanic,Tulare County Sheriff's Office,Pending investigation/No Known Charges,2018,5,3,Orosi,CA,Tulare,Gunshot,No known charges,Yes,36.5434,-119.2903,California,0500000US06107,144109,5.6,4.2,9.4,10.3,14,18.7,13.6,13.7,7.2,3.4,57692,74820,17128,Low
28,Male,White,Jim Wells County Sheriff's Office,Pending investigation/No Known Charges,2018,5,3,Sandia,TX,Jim Wells,Gunshot,No known charges,Yes,28.0199,-97.8701,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Male,Black,Columbus GA Police Department,Pending investigation/No Known Charges,2018,5,2,Columbus,GA,Muscogee,Gunshot,No known charges,No,32.51,-84.8771,Georgia,0500000US13215,73134,10.2,5.2,10.7,13,13.9,18.6,10.2,9.9,3.1,5.2,46934,70702,23768,Very Low
67,Male,Black,Dallas Police Department,Pending investigation/No Known Charges,2018,5,2,Dallas,TX,Dallas,Gunshot,No known charges,No,32.7936,-96.7662,Texas,0500000US48113,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle
27,Male,Hispanic,"Kansas City, KS Police Department",Pending investigation/No Known Charges,2018,5,2,Kansas City,KS,Wyandotte,Gunshot,No known charges,No,39.1234,-94.7443,Kansas,0500000US20209,61248,8.8,6.1,10.8,12.3,15.5,18,12.7,10.7,3.3,1.8,46964,58167,11203,Very Low
49,Male,White,Alamance County Sheriff's Office,Pending investigation/No Known Charges,2018,5,2,Liberty,NC,Randolph,Gunshot,No known charges,No,35.8555,-79.5682,North Carolina,0500000US37151,56117,6.6,5.6,12.2,9.7,16.3,21.9,13.6,10,3.2,0.9,49742,59175,9433,Very Low
44,Male,White,Box Elder Police Department,Justified by Attorney General,2018,5,2,Box Elder,SD,Pennington,Gunshot,No known charges,No,44.1121,-103.0827,South Dakota,0500000US46103,44676,3.9,6,12.6,9.4,10.1,18.9,13.2,16.2,4.7,4.8,58085,77493,19408,Low
NA,Male,Unknown race,U.S. Immigration and Customs Enforcement,Pending investigation/No Known Charges,2018,5,1,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
NA,Male,Unknown race,Arizona Department of Public Safety,Pending investigation/No Known Charges,2018,5,1,Quartzsite,AZ,La Paz,Gunshot,No known charges,No,33.6675,-114.217,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Male,White,League City Police Department,Pending investigation/No Known Charges,2018,5,1,League City,TX,Galveston,Gunshot,No known charges,No,29.4873,-95.1087,Texas,0500000US48167,127092,5.3,2.2,8.7,7.5,9.6,16.7,11.2,20.1,8.6,10.1,74977,97586,22609,High
64,Male,Black,Columbus Division of Police,Pending investigation/No Known Charges,2018,4,30,Columbus,OH,Franklin,Gunshot,No known charges,No,39.9862,-82.985,Ohio,0500000US39049,522383,5.4,3.3,9,8.2,12.1,19.5,12.7,16,7.1,6.7,64713,87764,23051,Middle
47,Male,White,Macon County Sheriff's Office,Pending investigation/No Known Charges,2018,4,30,Franklin,NC,Macon,Gunshot,No known charges,No,35.1798,-83.3808,North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Male,White,Iowa State Patrol,Pending investigation/No Known Charges,2018,4,29,Moorland,IA,Webster,Gunshot,No known charges,No,42.4414,-94.2954,Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Male,White,Shreveport Police Department,Pending investigation/No Known Charges,2018,4,29,Shreveport,LA,Caddo,Gunshot,No known charges,No,32.4656,-93.7956,Louisiana,0500000US22017,92589,13.4,6.9,13,9.2,11,15.3,10.1,11.8,4.4,4.7,45537,69968,24431,Very Low
NA,Male,White,Redlands Police Department,Pending investigation/No Known Charges,2018,4,29,Redlands,CA,San Bernardino,Gunshot,No known charges,No,34.0511,-117.1712,California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High
36,Female,Black,Johns Creek Police Department,Pending investigation/No Known Charges,2018,4,28,Johns Creek,GA,Gwinnett,Gunshot,No known charges,Yes,34.0333,-84.2027,Georgia,0500000US13135,301471,3.7,2.2,5.8,7.9,12.4,19.7,13.7,18.4,8.5,7.6,72109,93401,21292,High
26,Male,Hispanic,Elk Grove Police Department,Pending investigation/No Known Charges,2018,4,28,Elk Grove,CA,Sacramento,Gunshot,No known charges,No,38.416,-121.3842,California,0500000US06067,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,93318,21301,High
35,Male,Unknown race,Shelby Township Police Department,Pending investigation/No Known Charges,2018,4,28,Shelby Charter Township,MI,Macomb,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Male,White,Casselberry Police Department,Pending investigation/No Known Charges,2018,4,28,Casselberry,FL,Seminole,Gunshot,No known charges,No,28.6625,-81.3218,Florida,0500000US12117,181142,4.2,2.4,7.1,7.8,13.1,18.7,14.3,15.1,8,9.3,70190,95285,25095,High
NA,Male,White,Westminster Police Department,Pending investigation/No Known Charges,2018,4,28,Denver,CO,Adams,Gunshot,No known charges,No,39.7621,-104.8759,Colorado,0500000US08001,171977,3.6,2.7,6.1,6.8,11.8,18.4,16.2,18.4,9.4,6.6,75804,91713,15909,Very High
22,Male,Unknown race,Texas Department of Public Safety,Pending investigation/No Known Charges,2018,4,26,Vernon,TX,Wilbarger,Gunshot,No known charges,No,34.148,-99.3,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Female,White,Butte County Sheriff's Office,Pending investigation/No Known Charges,2018,4,26,Oroville,CA,Butte,Gunshot,No known charges,No,39.4999,-121.5634,California,0500000US06007,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563,91685,29122,Middle
42,Male,Black,Louisville Metro Police Department,Pending investigation/No Known Charges,2018,4,25,Louisville,KY,Jefferson,Gunshot,No known charges,Unknown,38.1663,-85.6485,Kentucky,0500000US21111,316174,6.4,4.1,9.3,9.7,13.3,19.1,13,13.6,5.8,5.7,59049,81043,21994,Low
36,Male,White,Denver Police Department,Pending investigation/No Known Charges,2018,4,25,Denver,CO,Denver,Gunshot,No known charges,No,39.7621,-104.8759,Colorado,0500000US08031,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,106715,31069,Very High
41,Male,White,Colorado Springs Police Department,Pending investigation/No Known Charges,2018,4,25,Colorado Springs,CO,El Paso,Gunshot,No known charges,No,38.8674,-104.7606,Colorado,0500000US08041,265798,4.4,2.8,6.3,7.3,11.5,19.6,14.7,17.4,8.5,7.6,72830,93351,20521,High
39,Male,White,Phoenix Police Department,Pending investigation/No Known Charges,2018,4,25,Phoenix,AZ,Maricopa,Taser,No known charges,No,33.5722,-112.0891,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
21,Male,Black,Louisville Metro Police Department,Pending investigation/No Known Charges,2018,4,24,Louisville,KY,Jefferson,Gunshot,No known charges,No,38.1663,-85.6485,Kentucky,0500000US21111,316174,6.4,4.1,9.3,9.7,13.3,19.1,13,13.6,5.8,5.7,59049,81043,21994,Low
44,Male,Hispanic,San Antonio Park Police Department,Pending investigation/No Known Charges,2018,4,24,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
NA,Male,Unknown race,Amarillo Police Department,Pending investigation/No Known Charges,2018,4,24,Amarillo,TX,Randall,Gunshot,No known charges,Yes,35.1988,-101.8311,Texas,0500000US48381,50261,3.9,2.6,8.9,8.5,11.9,17.3,14.8,19.1,6.7,6.2,70651,89410,18759,High
37,Male,Black,Grand Prairie Police Department,Pending investigation/No Known Charges,2018,4,23,Grand Prairie,TX,Dallas,Gunshot,No known charges,No,32.6872,-97.0209,Texas,0500000US48113,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle
37,Male,Hispanic,"West Buechel Police Department, Hurstbourne Acres Police Department",Pending investigation/No Known Charges,2018,4,22,Louisville,KY,Jefferson,Gunshot,No known charges,No,38.1663,-85.6485,Kentucky,0500000US21111,316174,6.4,4.1,9.3,9.7,13.3,19.1,13,13.6,5.8,5.7,59049,81043,21994,Low
27,Male,White,"Ottawa County Sheriff's Office, Holland Police Department",Pending investigation/No Known Charges,2018,4,22,West Olive,MI,Ottawa,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Black,Memphis Police Department,Pending investigation/No Known Charges,2018,4,21,Memphis,TN,Shelby,Gunshot,No known charges,No,35.1046,-89.9773,Tennessee,0500000US47157,353950,8.1,6.1,9.8,10.3,13.2,17,11.2,12.7,4.5,7,52614,80016,27402,Very Low
89,Male,Unknown race,Hualapai Nation Police Department,Pending investigation/No Known Charges,2018,4,21,Seligman,AZ,Yavapai,Gunshot,No known charges,Unknown,35.3256,-112.8573,Arizona,0500000US04025,102784,5.5,5,10.7,9.4,15.6,21.1,11.5,12,4.2,4.8,53816,71282,17466,Very Low
48,Male,White,Boone Police Department,Pending investigation/No Known Charges,2018,4,21,Boone,IA,Boone,Gunshot,No known charges,No,42.053,-93.877,Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Male,Black,Orange County Sheriff's Office,Pending investigation/No Known Charges,2018,4,20,Orlando,FL,Orange,Gunshot,No known charges,No,28.4772,-81.3369,Florida,0500000US12095,457949,4.9,3.5,7.6,9,13.9,19.7,13.6,14.7,5.8,7.2,63461,88304,24843,Middle
18,Male,White,Tazewell County Sheriff's Office,Pending investigation/No Known Charges,2018,4,20,Mackinaw,IL,Tazewell,Gunshot,No known charges,No,40.5342,-89.3551,Illinois,0500000US17179,53127,3.3,3.4,9.1,9.3,12.2,20.8,13.9,17.6,5.9,4.4,65848,78686,12838,High
49,Male,White,California Highway Patrol,Pending investigation/No Known Charges,2018,4,20,Foresthill,CA,Placer,Gunshot,No known charges,Yes,39.0053,-120.8314,California,0500000US06061,147236,2.8,2.5,5.5,5.7,7.4,13.6,13.5,20.8,11.7,16.4,97723,124843,27120,Very High
31,Male,Black,U.S. Marshals Service,Pending investigation/No Known Charges,2018,4,18,Fort Lauderdale,FL,Broward,Gunshot,No known charges,No,26.1412,-80.1464,Florida,0500000US12011,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502,88786,27284,Middle
48,Male,Black,Kalamazoo County Sheriff's Office,Pending investigation/No Known Charges,2018,4,18,Kalamazoo,MI,Kalamazoo,Gunshot,No known charges,No,42.2749,-85.5882,Michigan,0500000US26077,103196,7.9,3.8,7,11.1,13.8,18.4,14.6,11.3,6.4,5.8,56441,79173,22732,Low
32,Male,Native American,Salt Lake City Police Department,Pending investigation/No Known Charges,2018,4,18,Salt Lake City,UT,Salt Lake,Gunshot,No known charges,No,40.7777,-111.9306,Utah,0500000US49035,384692,3.9,2.6,5.4,6.1,10,18.6,15.7,19.5,9.7,8.4,80119,101876,21757,Very High
32,Male,White,Douglas County Sheriff's Office,Pending investigation/No Known Charges,2018,4,18,Douglasville,GA,Douglas,Gunshot,No known charges,Yes,33.7384,-84.7065,Georgia,0500000US13097,48899,4.7,3.1,6.9,8.3,17.3,17.9,15.3,15.4,6.4,4.7,62669,80676,18007,Middle
45,Male,White,Greene County Sheriff's Office,Justified by Prosecutor,2018,4,18,Springfield,MO,Greene,Gunshot,No known charges,No,37.1943,-93.2916,Missouri,0500000US29077,133900,9.2,3.9,14.2,12.4,15,18.8,10.5,10.3,3.3,2.4,43752,63870,20118,Very Low
41,Male,Black,Unified Police Department of Greater Salt Lake,Pending investigation/No Known Charges,2018,4,17,Magna,UT,Salt Lake,Gunshot,No known charges,Yes,40.7634,-112.1599,Utah,0500000US49035,384692,3.9,2.6,5.4,6.1,10,18.6,15.7,19.5,9.7,8.4,80119,101876,21757,Very High
