age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
31,Male,White,Garland Police Department,Unreported,2013,7,28,Garland,TX,Dallas,Gunshot,No known charges,No,32.91,-96.6305,Texas,0500000US48113,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle
33,Male,Hispanic,Durham Police Department,Justified,2013,7,27,Durham,NC,Durham,Gunshot,No known charges,No,35.9794,-78.9031,North Carolina,0500000US37063,131140,5.9,3.7,6.5,9.3,13.3,17.1,14.4,15,7.1,7.8,65317,86730,21413,High
42,Male,Hispanic,Miami-Dade Police Department,Unknown,2013,7,27,Hialeah,FL,Miami-Dade,Gunshot,No known charges,No,25.8696,-80.3046,Florida,0500000US12086,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171,82803,27632,Low
49,Female,Unknown race,"Albany Police Department, Shackelford County Sheriff's Office",Pending investigation/No Known Charges,2013,7,27,Albany,TX,Shackelford,Gunshot,No known charges,No,32.7272,-99.2956,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Male,White,Western Berks Regional Police,Justified,2013,7,27,Wernersville,PA,Berks,Gunshot,No known charges,No,40.3302,-76.082,Pennsylvania,0500000US42011,154696,5,3.1,7.8,7.6,13.7,18.1,13.6,19.3,6.6,5.2,67708,84720,17012,High
32,Male,Black,Austin Police Department,"Charged with manslaughter, Charges Dismissed in Federal Court",2013,7,26,Austin,TX,Travis,Gunshot,"Charged, Charges Dropped",No,30.3004,-97.7522,Texas,0500000US48453,507751,5.4,2.2,5.8,6.2,10.7,16.1,13.2,17.5,9.8,13.1,80726,114226,33500,Very High
30,Male,Hispanic,Salinas Police Department,Unreported,2013,7,26,Salinas,CA,Monterey,Gunshot,No known charges,No,36.6884,-121.6317,California,0500000US06053,128227,3.2,2.2,8.3,7,10.8,16,15.8,18.5,7.5,10.6,77514,102106,24592,Very High
29,Male,Black,Suffolk County Police Department,Unreported,2013,7,25,Middle Island,NY,Suffolk,Taser,No known charges,Yes,40.8857,-72.9454,New York,0500000US36103,499744,2.9,1.9,4.5,4.7,7.5,13.1,12,21.1,13.3,18.9,106228,138724,32496,Very High
42,Male,Hispanic,Not reported,Unreported,2013,7,25,Compton,CA,Los Angeles,Gunshot,No known charges,Unknown,33.893,-118.2275,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
49,Male,Unknown race,Union County Sheriff's Office,Justified,2013,7,25,Monroe,NC,Union,Gunshot,No known charges,No,35.006100000000004,-80.5595,North Carolina,0500000US37179,77954,3.3,2.1,6,6.2,9.7,16.7,13.3,18.8,9.5,14.5,85985,113242,27257,Very High
